present,EC,type,date,pmid,title,source,abstract
x,No,epigenetics,20221024,36179666,Repression and 3D-restructuring resolves regulatory conflicts in evolutionarily rearranged genomes.,Cell,"Regulatory landscapes drive complex developmental gene expression, but it remains unclear how their integrity is maintained when incorporating novel genes and functions during evolution. Here, we investigated how a placental mammal-specific gene, Zfp42, emerged in an ancient vertebrate topologically associated domain (TAD) without adopting or disrupting the conserved expression of its gene, Fat1. In ESCs, physical TAD partitioning separates Zfp42 and Fat1 with distinct local enhancers that drive their independent expression. This separation is driven by chromatin activity and not CTCF/cohesin. In contrast, in embryonic limbs, inactive Zfp42 shares Fat1's intact TAD without responding to active Fat1 enhancers. However, neither Fat1 enhancer-incompatibility nor nuclear envelope-attachment account for Zfp42's unresponsiveness. Rather, Zfp42's promoter is rendered inert to enhancers by context-dependent DNA methylation. Thus, diverse mechanisms enabled the integration of independent Zfp42 regulation in the Fat1 locus. Critically, such regulatory complexity appears common in evolution as, genome wide, most TADs contain multiple independently expressed genes.Copyright © 2022 The Author(s). Published by Elsevier Inc. All rights reserved."
x,No,methods,20221024,36242584,A systematic assessment of cell type deconvolution algorithms for DNA methylation data.,Brief Bioinform,"We performed systematic assessment of computational deconvolution methods that play an important role in the estimation of cell type proportions from bulk methylation data. The proposed framework methylDeConv (available as an R package) integrates several deconvolution methods for methylation profiles (Illumina HumanMethylation450 and MethylationEPIC arrays) and offers different cell-type-specific CpG selection to construct the extended reference library which incorporates the main immune cell subsets, epithelial cells and cell-free DNAs. We compared the performance of different deconvolution algorithms via simulations and benchmark datasets and further investigated the associations of the estimated cell type proportions to cancer therapy in breast cancer and subtypes in melanoma methylation case studies. Our results indicated that the deconvolution based on the extended reference library is critical to obtain accurate estimates of cell proportions in non-blood tissues.© The Author(s) 2022. Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com."
x,No,methods,20221024,36239035,The impact of low input DNA on the reliability of DNA methylation as measured by the Illumina Infinium MethylationEPIC BeadChip.,Epigenetics,"DNA methylation (DNAm) is commonly assayed using the Illumina Infinium MethylationEPIC BeadChip, but there is currently little published evidence to define the lower limits of the amount of DNA that can be used whilst preserving data quality. Such evidence is valuable for analyses utilizing precious or limited DNA sources. We used a single pooled sample of DNA in quadruplicate at three dilutions to define replicability and noise, and an independent population dataset of 328 individuals (from a community-based study including US-born non-Hispanic Black and white persons) to assess the impact of total DNA input on the quality of data generated using the Illumina Infinium MethylationEPIC BeadChip. We found that data are less reliable and more noisy as DNA input decreases to 40ng, with clear reductions in data quality; and that low DNA input is associated with a reduction in power to detect EWAS associations, requiring larger sample sizes. We conclude that DNA input as low as 40ng can be used with the Illumina Infinium MethylationEPIC BeadChip, provided quality checks and sensitivity analyses are undertaken."
x,No,methods,20221024,36175791,Identifying disease-critical cell types and cellular processes by integrating single-cell RNA-sequencing and human genetics.,Nat Genet,"Genome-wide association studies provide a powerful means of identifying loci and genes contributing to disease, but in many cases, the related cell types/states through which genes confer disease risk remain unknown. Deciphering such relationships is important for identifying pathogenic processes and developing therapeutics. In the present study, we introduce sc-linker, a framework for integrating single-cell RNA-sequencing, epigenomic SNP-to-gene maps and genome-wide association study summary statistics to infer the underlying cell types and processes by which genetic variants influence disease. The inferred disease enrichments recapitulated known biology and highlighted notable cell-disease relationships, including γ-aminobutyric acid-ergic neurons in major depressive disorder, a disease-dependent M-cell program in ulcerative colitis and a disease-specific complement cascade process in multiple sclerosis. In autoimmune disease, both healthy and disease-dependent immune cell-type programs were associated, whereas only disease-dependent epithelial cell programs were prominent, suggesting a role in disease response rather than initiation. Our framework provides a powerful approach for identifying the cell types and cellular processes by which genetic variants influence disease.© 2022. The Author(s), under exclusive licence to Springer Nature America, Inc."
x,No,methods,20221024,36265006,Deep mendelian randomization: Investigating the causal knowledge of genomic deep learning models,PLoS Comput Biol,"Multi-task deep learning (DL) models can accurately predict diverse genomic marks from sequence, but whether these models learn the causal relationships between genomic marks is unknown. Here, we describe Deep Mendelian Randomization (DeepMR), a method for estimating causal relationships between genomic marks learned by genomic DL models. By combining Mendelian randomization with in silico mutagenesis, DeepMR obtains local (locus specific) and global estimates of (an assumed) linear causal relationship between marks. In a simulation designed to test recovery of pairwise causal relations between transcription factors (TFs), DeepMR gives accurate and unbiased estimates of the 'true' global causal effect, but its coverage decays in the presence of sequence-dependent confounding. We then apply DeepMR to examine the global relationships learned by a state-of-the-art DL model, BPNet, between TFs involved in reprogramming. DeepMR's causal effect estimates validate previously hypothesized relationships between TFs and suggest new relationships for future investigation."
x,No,prediction,20221024,36175966,A blood DNA methylation biomarker for predicting short-term risk of cardiovascular events.,Clin Epigenetics,"Recent evidence highlights the epidemiological value of blood DNA methylation (DNAm) as surrogate biomarker for exposure to risk factors for non-communicable diseases (NCD). DNAm surrogate of exposures predicts diseases and longevity better than self-reported or measured exposures in many cases. Consequently, disease prediction models based on blood DNAm surrogates may outperform current state-of-the-art prediction models. This study aims to develop novel DNAm surrogates for cardiovascular diseases (CVD) risk factors and develop a composite biomarker predictive of CVD risk. We compared the prediction performance of our newly developed risk score with the state-of-the-art DNAm risk scores for cardiovascular diseases, the 'next-generation' epigenetic clock DNAmGrimAge, and the prediction model based on traditional risk factors SCORE2.Using data from the EPIC Italy cohort, we derived novel DNAm surrogates for BMI, blood pressure, fasting glucose and insulin, cholesterol, triglycerides, and coagulation biomarkers. We validated them in four independent data sets from Europe and the USA. Further, we derived a DNAmCVDscore predictive of the time-to-CVD event as a combination of several DNAm surrogates. ROC curve analyses show that DNAmCVDscore outperforms previously developed DNAm scores for CVD risk and SCORE2 for short-term CVD risk. Interestingly, the performance of DNAmGrimAge and DNAmCVDscore was comparable (slightly lower for DNAmGrimAge, although the differences were not statistically significant).We described novel DNAm surrogates for CVD risk factors useful for future molecular epidemiology research, and we described a blood DNAm-based composite biomarker, DNAmCVDscore, predictive of short-term cardiovascular events. Our results highlight the usefulness of DNAm surrogate biomarkers of risk factors in epigenetic epidemiology to identify high-risk populations. In addition, we provide further evidence on the effectiveness of prediction models based on DNAm surrogates and discuss methodological aspects for further improvements. Finally, our results encourage testing this approach for other NCD diseases by training and developing DNAm surrogates for disease-specific risk factors and exposures.© 2022. The Author(s)."
x,Yes,ewas,20221024,36180927,Altered methylation pattern in EXOC4 is associated with stroke outcome: an epigenome-wide association study.,Clin Epigenetics,"The neurological course after stroke is highly variable and is determined by demographic, clinical and genetic factors. However, other heritable factors such as epigenetic DNA methylation could play a role in neurological changes after stroke.We performed a three-stage epigenome-wide association study to evaluate DNA methylation associated with the difference between the National Institutes of Health Stroke Scale (NIHSS) at baseline and at discharge (ΔNIHSS) in ischaemic stroke patients. DNA methylation data in the Discovery (n = 643) and Replication (n = 62) Cohorts were interrogated with the 450 K and EPIC BeadChip. Nominal CpG sites from the Discovery (p value < 10-06) were also evaluated in a meta-analysis of the Discovery and Replication cohorts, using a random-fixed effect model. Metabolic pathway enrichment was calculated with methylGSA. We integrated the methylation data with 1305 plasma protein expression levels measured by SOMAscan in 46 subjects and measured RNA expression with RT-PCR in a subgroup of 13 subjects. Specific cell-type methylation was assessed using EpiDISH.The meta-analysis revealed an epigenome-wide significant association in EXOC4 (p value = 8.4 × 10-08) and in MERTK (p value = 1.56 × 10-07). Only the methylation in EXOC4 was also associated in the Discovery and in the Replication Cohorts (p value = 1.14 × 10-06and p value = 1.3 × 10-02, respectively). EXOC4 methylation negatively correlated with the long-term outcome (coefficient = - 4.91) and showed a tendency towards a decrease in EXOC4 expression (rho = - 0.469, p value = 0.091). Pathway enrichment from the meta-analysis revealed significant associations related to the endocytosis and deubiquitination processes. Seventy-nine plasma proteins were differentially expressed in association with EXOC4 methylation. Pathway analysis of these proteins showed an enrichment in natural killer (NK) cell activation. The cell-type methylation analysis in blood also revealed a differential methylation in NK cells.DNA methylation of EXOC4 is associated with a worse neurological course after stroke. The results indicate a potential modulation of pathways involving endocytosis and NK cells regulation.© 2022. The Author(s)."
,No,methods,20221024,36179079,mHapTk: A comprehensive toolkit for the analysis of DNA methylation haplotypes.,Bioinformatics,"Bisulfite sequencing (BS-seq) remains the gold standard technique to detect DNA methylation profiles at single-nucleotide resolution. The DNA methylation status of CpG sites on the same fragment represents a discrete methylation haplotype (mHap). The mHap-level metrics were demonstrated to be promising cancer biomarkers and explain more gene expression variation than average methylation. However, most existing tools focus on average methylation and neglect mHap patterns. Here, we present mhapTk, a comprehensive python toolkit for the analysis of DNA methylation haplotypes. It calculates eight mHap-level summary statistics in predefined regions or across individual CpG in a genome-wide manner. It identifies methylation haplotype blocks (MHBs), in which methylations of pairwise CpGs is tightly correlated. Furthermore, mHap patterns can be visualized with the built-in functions in mHapTk or external tools such as IGV and deepTools.https://jiantaoshi.github.io/mhaptk/index.html.Supplementary data are available at Bioinformatics online.© The Author(s) (2022). Published by Oxford University Press. All rights reserved. For Permissions, please email: journals.permissions@oup.com."
,Yes,ewas,20221024,36246163,Stress Overload and DNA Methylation in African American Women in the Intergenerational Impact of Genetic and Psychological Factors on Blood Pressure Study.,Epigenet Insights,"Experiencing psychosocial stress is associated with poor health outcomes such as hypertension and obesity, which are risk factors for developing cardiovascular disease. African American women experience disproportionate risk for cardiovascular disease including exposure to high levels of psychosocial stress. We hypothesized that psychosocial stress, such as perceived stress overload, may influence epigenetic marks, specifically DNA methylation (DNAm), that contribute to increased risk for cardiovascular disease in African American women.We conducted an epigenome-wide study evaluating the relationship of psychosocial stress and DNAm among African American mothers from the Intergenerational Impact of Genetic and Psychological Factors on Blood Pressure (InterGEN) cohort. Linear mixed effects models were used to explore the epigenome-wide associations with the Stress Overload Scale (SOS), which examines self-reported past-week stress, event load and personal vulnerability.In total, n = 228 participants were included in our analysis. After adjusting for known epigenetic confounders, we did not identify any DNAm sites associated with maternal report of stress measured by SOS after controlling for multiple comparisons. Several of the top differentially methylated CpG sites related to SOS score (P< 1 × 10-5), mapped to genes of unknown significance for hypertension or heart disease, namely,PXDNLandC22orf42.This study provides foundational knowledge for future studies examining epigenetic associations with stress and other psychosocial measures in African Americans, a key area for growth in epigenetics. Future studies including larger sample sizes and replication data are warranted.© The Author(s) 2022."
,Yes,ewas,20221024,36243740,Characterisation of ethnic differences in DNA methylation between UK-resident South Asians and Europeans.,Clin Epigenetics,"Ethnic differences in non-communicable disease risk have been described between individuals of South Asian and European ethnicity that are only partially explained by genetics and other known risk factors. DNA methylation is one underexplored mechanism that may explain differences in disease risk. Currently, there is little knowledge of how DNA methylation varies between South Asian and European ethnicities. This study characterised differences in blood DNA methylation between individuals of self-reported European and South Asian ethnicity from two UK-based cohorts: Southall and Brent Revisited and Born in Bradford. DNA methylation differences between ethnicities were widespread throughout the genome (n = 16,433 CpG sites, 3.4% sites tested). Specifically, 76% of associations were attributable to ethnic differences in cell composition with fewer effects attributable to smoking and genetic variation. Ethnicity-associated CpG sites were enriched for EWAS Catalog phenotypes including metabolites. This work highlights the need to consider ethnic diversity in epigenetic research.© 2022. The Author(s)."
