EC,type,pmid,title,source,abstract
no,epigenetics,34551299,DNA methylation is required to maintain both DNA replication timing precision and 3D genome organization integrity.,Cell Rep,"DNA replication timing and three-dimensional (3D) genome organization are associated with distinct epigenome patterns across large domains. However, whether alterations in the epigenome, in particular cancer-related DNA hypomethylation, affects higher-order levels of genome architecture is still unclear. Here, using Repli-Seq, single-cell Repli-Seq, and Hi-C, we show that genome-wide methylation loss is associated with both concordant loss of replication timing precision and deregulation of 3D genome organization. Notably, we find distinct disruption in 3D genome compartmentalization, striking gains in cell-to-cell replication timing heterogeneity and loss of allelic replication timing in cancer hypomethylation models, potentially through the gene deregulation of DNA replication and genome organization pathways. Finally, we identify ectopic H3K4me3-H3K9me3 domains from across large hypomethylated domains, where late replication is maintained, which we purport serves to protect against catastrophic genome reorganization and aberrant gene transcription. Our results highlight a potential role for the methylome in the maintenance of 3D genome regulation.Copyright © 2021 The Author(s). Published by Elsevier Inc. All rights reserved."
no,epigenetics,34526716,UTX condensation underlies its tumour-suppressive activity,Nature,"UTX (also known as KDM6A) encodes a histone H3K27 demethylase and is an important tumour suppressor that is frequently mutated in human cancers1. However, as the demethylase activity of UTX is often dispensable for mediating tumour suppression and developmental regulation2-8, the underlying molecular activity of UTX remains unknown. Here we show that phase separation of UTX underlies its chromatin-regulatory activity in tumour suppression. A core intrinsically disordered region (cIDR) of UTX forms phase-separated liquid condensates, and cIDR loss caused by the most frequent cancer mutation of UTX is mainly responsible for abolishing tumour suppression. Deletion, mutagenesis and replacement assays of the intrinsically disordered region demonstrate a critical role of UTX condensation in tumour suppression and embryonic stem cell differentiation. As shown by reconstitution in vitro and engineered systems in cells, UTX recruits the histone methyltransferase MLL4 (also known as KMT2D) to the same condensates and enriches the H3K4 methylation activity of MLL4. Moreover, UTX regulates genome-wide histone modifications and high-order chromatin interactions in a condensation-dependent manner. We also found that UTY, the Y chromosome homologue of UTX with weaker tumour-suppressive activity, forms condensates with reduced molecular dynamics. These studies demonstrate a crucial biological function of liquid condensates with proper material states in enabling the tumour-suppressive activity of a chromatin regulator."
no,epigenetics,34526684,Protein condensates provide a platform for controlling chromatin.,Nature,NA
yes,EWAS,34585950,Impact of depression and stress on placental DNA methylation in ethnically diverse pregnant women.,Epigenomics,"Aim:To investigate the association between placental genome-wide methylation at birth and antenatal depression and stress during pregnancy.Methods:We examined the association between placental genome-wide DNA methylation (n = 301) and maternal depression and stress assessed at six gestation periods during pregnancy. Correlation between DNA methylation at the significantly associated CpGs and expression of nearby genes in the placenta was tested.Results:Depression and stress were associated with methylation of 16 CpGs and two CpGs, respectively, at a 5% false discovery rate. Methylation levels at two of the CpGs associated with depression were significantly associated with expression ofADAM23andCTDP1, genes implicated in neurodevelopment and neuropsychiatric diseases.Conclusion:Placental epigenetic changes linked to antenatal depression suggest potential fetal brain programming. Clinical trial registration number: NCT00912132 (ClinicalTrials.gov)."
yes,EWAS,34583751,Investigating the DNA methylation profile of e-cigarette use.,Clin Epigenetics,"Little evidence exists on the health effects of e-cigarette use. DNA methylation may serve as a biomarker for exposure and could be predictive of future health risk. We aimed to investigate the DNA methylation profile of e-cigarette use.Among 117 smokers, 117 non-smokers and 116 non-smoking vapers, we evaluated associations between e-cigarette use and epigenome-wide methylation from saliva. DNA methylation at 7 cytosine-phosphate-guanine sites (CpGs) was associated with e-cigarette use at p < 1 × 10-5and none at p < 5.91 × 10-8. 13 CpGs were associated with smoking at p < 1 × 10-5and one at p < 5.91 × 10-8. CpGs associated with e-cigarette use were largely distinct from those associated with smoking. There was strong enrichment of known smoking-related CpGs in the smokers but not the vapers. We also tested associations between e-cigarette use and methylation scores known to predict smoking and biological ageing. Methylation scores for smoking and biological ageing were similar between vapers and non-smokers. Higher levels of all smoking scores and a biological ageing score (GrimAge) were observed in smokers. A methylation score for e-cigarette use showed poor prediction internally (AUC 0.55, 0.41-0.69) and externally (AUC 0.57, 0.36-0.74) compared with a smoking score (AUCs 0.80) and was less able to discriminate lung squamous cell carcinoma from adjacent normal tissue (AUC 0.64, 0.52-0.76 versus AUC 0.73, 0.61-0.85).The DNA methylation profile for e-cigarette use is largely distinct from that of cigarette smoking, did not replicate in independent samples, and was unable to discriminate lung cancer from normal tissue. The extent to which methylation related to long-term e-cigarette use translates into chronic effects requires further investigation.© 2021. The Author(s)."
yes,EWAS,34569420,"Associations between infant sex and DNA methylation across umbilical cord blood, artery, and placenta samples.",Epigenetics,"DNA methylation (DNAm) is vulnerable to dysregulation by environmental exposures during epigenetic reprogramming that occurs in embryogenesis. Sexual dimorphism in environmentally induced DNAm dysregulation has been identified and therefore it is important to understand sex-specific DNAm patterns. DNAm at several autosomal sites has been consistently associated with sex in cord blood and placental fetal tissues. However, there is limited research comparing sex-specific DNAm across tissues, particularly differentially methylated regions (DMRs). This study leverages DNAm data measured using the Illumina HumanMethylation450 BeadChip in cord blood (N = 179), placenta (N = 229), and umbilical artery samples (N = 229) in the PRogramming of Intergenerational Stress Mechanisms (PRISM) cohort to identify autosomal DMRs and differentially methylated positions (DMPs). A replication analyses was conducted in an independent cohort (GEO Accession GSE129841). We identified 183, 257, and 419 DMRs and 2119, 2281, and 3405 DMPs (pBonferroni< 0.05) in cord blood, placenta, and artery samples, respectively. Thirty-nine DMRs overlapped in all three tissues, overlapping with genes involved in spermatogenesis (NKAPL, PIWIL2, AURKC) and X-inactivation (LRIF1). In replication analysis, 85% of DMRs overlapped with those identified in PRISM. Overall DMRs and DMPs had higher methylation levels among females in cord blood and artery samples, but higher methylation levels among males in placenta samples. Further research is necessary to understand biological mechanisms that contribute to differences in sex-specific DNAm signatures across tissues, as well as to determine if sexual dimorphism in the epigenome impacts response to environmental stressors."
yes,EWAS,34561420,SLC25A24 gene methylation and gray matter volume in females with and without conduct disorder: an exploratory epigenetic neuroimaging study.,Transl Psychiatry,"Conduct disorder (CD), a psychiatric disorder characterized by a repetitive pattern of antisocial behaviors, results from a complex interplay between genetic and environmental factors. The clinical presentation of CD varies both according to the individual's sex and level of callous-unemotional (CU) traits, but it remains unclear how genetic and environmental factors interact at the molecular level to produce these differences. Emerging evidence in males implicates methylation of genes associated with socio-affective processes. Here, we combined an epigenome-wide association study with structural neuroimaging in 51 females with CD and 59 typically developing (TD) females to examine DNA methylation in relation to CD, CU traits, and gray matter volume (GMV). We demonstrate an inverse pattern of correlation between CU traits and methylation of a chromosome 1 region in CD females (positive) as compared to TD females (negative). The identified region spans exon 1 of the SLC25A24 gene, central to energy metabolism due to its role in mitochondrial function. Increased SLC25A24 methylation was also related to lower GMV in multiple brain regions in the overall cohort. These included the superior frontal gyrus, prefrontal cortex, and supramarginal gyrus, secondary visual cortex and ventral posterior cingulate cortex, which are regions that have previously been implicated in CD and CU traits. While our findings are preliminary and need to be replicated in larger samples, they provide novel evidence that CU traits in females are associated with methylation levels in a fundamentally different way in CD and TD, which in turn may relate to observable variations in GMV across the brain.© 2021. The Author(s)."
yes,EWAS,34556110,Epigenome-wide association study detects a novel loci associated with central obesity in healthy subjects.,BMC Med Genomics,"Central obesity is a condition that poses a significant risk to global health and requires the employment of novel scientific methods for exploration. The objective of this study is to use DNA methylation analysis to detect DNA methylation loci linked to obesity phenotypes, i.e. waist circumference and waist-to-hip ratio adjusted for BMI.Two-hundred and ten healthy European participants from the STANISLAS Family Study (SFS), comprising 73 nuclear families, were comprehensively assessed for methylation status using Illumina Infinium HumanMethylation450 BeadChip. An epigenome-wide association study was performed, which identified a CpG site cg16170243 located on chromosome 18q21.2 significantly associated with waist circumference, after adjusting for BMI (β = 2.32, SE = 0.41, Padj = 0.048). Cg16170243 corresponds to a 50 bp-length human methylation oligoprobe located within the AC090241.2 gene that overlaps ST8SIA5 gene. No significant association was observed with waist-to-hip ratio adjusted for BMI (Padj > 0.05).A novel association between DNA methylation and WC was identified, which is demonstrating that epigenetic mechanisms may have a significant impact on waist circumference ratio in healthy individuals. Further studies are warranted to address the causal effects of this association.© 2021. The Author(s)."
yes,EWAS,34541665,A methylation study implicates the rewiring of brain neural circuits during puberty in the emergence of sex differences in depression symptoms.,J Child Psychol Psychiatry,"Women are 1.5-3 times more likely to suffer from depression than men. This sex bias first emerges during puberty and then persists across the reproductive years. As the cause remains largely elusive, we performed a methylation-wide association study (MWAS) to generate novel hypotheses.We assayed nearly all 28 million possible methylation sites in blood in 595 blood samples from 487 participants aged 9-17. MWASs were performed to identify methylation sites associated with increasing sex differences in depression symptoms as a function of pubertal stage. Epigenetic deconvolution was applied to perform analyses on a cell-type specific level.In monocytes, a substantial number of significant associations were detected after controlling the FDR at 0.05. These results could not be explained by plasma testosterone/estradiol or current/lifetime trauma. Our top results in monocytes were significantly enriched (ratio of 2.48) for genes in the top of a large genome-wide association study (GWAS) meta-analysis of depression and neurodevelopment-related Gene Ontology (GO) terms that remained significant after correcting for multiple testing. Focusing on our most robust findings (70 genes overlapping with the GWAS meta-analysis and the significant GO terms), we find genes coding for members of each of the major classes of axon guidance molecules (netrins, slits, semaphorins, ephrins, and cell adhesion molecules). Many of these genes were previously implicated in rodent studies of brain development and depression-like phenotypes, as well as human methylation, gene expression and GWAS studies.Our study suggests that the emergence of sex differences in depression may be related to the differential rewiring of brain circuits between boys and girls during puberty.© 2021 Association for Child and Adolescent Mental Health."
yes,EWAS,34539625,Genome-Wide DNA Methylation Profile in Whole Blood of Patients With Chronic Spontaneous Urticaria.,Front Immunol,"Chronic spontaneous urticaria (CSU) is a common autoimmune skin disease. Little is known about the role of epigenetics in the pathogenesis of CSU. This study aimed to investigate genome-wide DNA methylation profile in whole blood of patients with CSU.Genome-wide DNA methylation levels in whole blood samples of 95 Chinese Han ethnicity adult CSU patients and 95 ethnicity-, age- and sex-matched healthy controls were analyzed using Illumina 850K methylation chip. The differentially methylated genes (DMGs) were screened out and then functionally annotated by the gene ontology and the Kyoto encyclopedia of genes and genomes databases.A total of 439 differentially methylated positions (DMPs) (p< 0.01 and |Δβ| ≥ 0.06) were identified with 380 hypomethylated and 59 hypermethylated. The average global DNA methylation levels of the 439 DMPs in the CSU patients were significantly lower than those in the healthy controls (p< 0.001). The distribution of the 439 DMPs was wide on chromosome 1 to 22 and chromosome X. Chromosome 6 embodied the largest number of DMPs (n= 51) and their annotated genes were predominantly related to autoimmunity. The 304 annotated DMGs were mainly enriched in autoimmune disease- and immune-related pathways. A total of 41 DMPs annotated to 28 DMGs were identified whenp< 0.01 and |Δβ| ≥ 0.1. Of the 28 DMGs, HLA-DPB2, HLA-DRB1, PPP2R5C, and LTF were associated with autoimmunity. CSU cases with elevated total IgE, positive anti-thyroid peroxidase IgG autoantibodies, positive anti-thyroglobulin IgG autoantibodies, angioedema, UASday > 4, or recurrent CSU showed phenotype-specific DMPs as compared with cases with normal total IgE, negative anti-thyroid peroxidase IgG autoantibodies, negative anti-thyroglobulin IgG autoantibodies, no angioedema, UASday ≤ 4, or non-recurrent CSU respectively.This study shows a distinct genome-wide DNA methylation profile in Chinese Han ethnicity adult CSU patients and indicates a role of epigenetics in the pathogenesis of CSU. The predominant enrichment of the CSU-associated DMGs in immunological pathways provides supportive evidence for the immunopathogenesis of CSU. Future research on the CSU-associated DMPs and DMGs will help discover potential therapeutic targets for CSU.Copyright © 2021 Qi, Zhang, Yang, Tang and Xiao."
