EC,Date,Type,pmid,title,source,abstract
No,20210607,Aging,33813140,Clinical biomarkers and associations with healthspan and lifespan: Evidence from observational and genetic data,EBioMedicine,"Background: Biomarker-disease relationships are extensively investigated. However, associations between common clinical biomarkers and healthspan, the disease-free lifespan, are largely unknown. We aimed to explore the predictive values of ten biomarkers on healthspan and lifespan, and to identify putative causal mechanisms.

Methods: Using data from 12,098 Swedish individuals aged 47-94 years, we examined both serum concentrations and genetically predicted levels of ten glycemic, lipid-, inflammatory, and hematological biomarkers. During a follow-up period of up to 16 years, 3681 incident cases of any chronic disease (i.e., end of healthspan) and 2674 deaths (i.e., end of lifespan) were documented. Cox regression models were applied to estimate the associations of a one standard deviation increase in biomarkers with healthspan and lifespan.

Findings: Seven out of ten serum biomarkers were significantly associated with risks of any chronic disease and death; elevated glycemic biomarkers and high-density lipoprotein-related biomarkers showed the strongest detrimental (hazard ratio [HR] 1�29 [95% CI 1�24-1�34]) and protective effects (HR 0�92 [95% CI 0�89-0�96]), respectively. Genetic predisposition to elevated fasting blood glucose (FBG) was associated with increased risks of any chronic disease (HR 1�05 [95% CI 1�02-1�09]); genetically determined higher C-reactive protein correlated with lower death risks (HR 0�91 [95% CI 0�87-0�95]). Notably, the genetically proxied FBG-healthspan association was largely explained by serum FBG concentration.

Interpretation: Circulating concentrations of glycemic, lipid-, and inflammatory biomarkers are predictive of healthspan and lifespan. Glucose control is a putative causal mechanism and a potential intervention target for healthspan maintenance."
No,20210607,Aging,33982659,Sex differences in biological aging with a focus on human studies.,Elife,"Aging is a complex biological process characterized by hallmark features accumulating over the life course, shaping the individual's aging trajectory and subsequent disease risks. There is substantial individual variability in the aging process between men and women. In general, women live longer than men, consistent with lower biological ages as assessed by molecular biomarkers, but there is a paradox. Women are frailer and have worse health at the end of life, while men still perform better in physical function examinations. Moreover, many age-related diseases show sex-specific patterns. In this review, we aim to summarize the current knowledge on sexual dimorphism in human studies, with support from animal research, on biological aging and illnesses. We also attempt to place it in the context of the theories of aging, as well as discuss the explanations for the sex differences, for example, the sex-chromosome linked mechanisms and hormonally driven differences.© 2021, Hägg and Jylhävä."
No,20210607,DNAm age,34001218,Blood and skeletal muscle ageing determined by epigenetic clocks and their associations with physical activity and functioning.,Clin Epigenetics,"The aim of this study was to investigate the correspondence of different biological ageing estimates (i.e. epigenetic age) in blood and muscle tissue and their associations with physical activity (PA), physical function and body composition. Two independent cohorts (N = 139 and N = 47) were included, whose age span covered adulthood (23-69 years). Whole blood and m. vastus lateralis samples were collected, and DNA methylation was analysed. Four different DNA methylation age (DNAmAge) estimates were calculated using genome-wide methylation data and publicly available online tools. A novel muscle-specific methylation age was estimated using the R-package 'MEAT'. PA was measured with questionnaires and accelerometers. Several tests were conducted to estimate cardiorespiratory fitness and muscle strength. Body composition was estimated by dual-energy X-ray absorptiometry. DNAmAge estimates from blood and muscle were highly correlated with chronological age, but different age acceleration estimates were weakly associated with each other. The monozygotic twin within-pair similarity of ageing pace was higher in blood (r = 0.617-0.824) than in muscle (r = 0.523-0.585). Associations of age acceleration estimates with PA, physical function and body composition were weak in both tissues and mostly explained by smoking and sex. The muscle-specific epigenetic clock MEAT was developed to predict chronological age, which may explain why it did not associate with functional phenotypes. The Horvath's clock and GrimAge were weakly associated with PA and related phenotypes, suggesting that higher PA would be linked to accelerated biological ageing in muscle. This may, however, be more reflective of the low capacity of epigenetic clock algorithms to measure functional muscle ageing than of actual age acceleration. Based on our results, the investigated epigenetic clocks have rather low value in estimating muscle ageing with respect to the physiological adaptations that typically occur due to ageing or PA. Thus, further development of methods is needed to gain insight into muscle tissue-specific ageing and the underlying biological pathways."
No,20210607,Epigenetics,34050148,Impact of DNA methylation on 3D genome structure.,Nat Commun,"Determining the effect of DNA methylation on chromatin structure and function in higher organisms is challenging due to the extreme complexity of epigenetic regulation. We studied a simpler model system, budding yeast, that lacks DNA methylation machinery making it a perfect model system to study the intrinsic role of DNA methylation in chromatin structure and function. We expressed the murine DNA methyltransferases in Saccharomyces cerevisiae and analyzed the correlation between DNA methylation, nucleosome positioning, gene expression and 3D genome organization. Despite lacking the machinery for positioning and reading methylation marks, induced DNA methylation follows a conserved pattern with low methylation levels at the 5' end of the gene increasing gradually toward the 3' end, with concentration of methylated DNA in linkers and nucleosome free regions, and with actively expressed genes showing low and high levels of methylation at transcription start and terminating sites respectively, mimicking the patterns seen in mammals. We also see that DNA methylation increases chromatin condensation in peri-centromeric regions, decreases overall DNA flexibility, and favors the heterochromatin state. Taken together, these results demonstrate that methylation intrinsically modulates chromatin structure and function even in the absence of cellular machinery evolved to recognize and process the methylation signal."
Yes,20210607,EWAS,34034806,Blood DNA methylation and COVID-19 outcomes.,Clin Epigenetics,"There are no prior reports that compare differentially methylated regions of DNA in blood samples from COVID-19 patients to samples collected before the SARS-CoV-2 pandemic using a shared epigenotyping platform. We performed a genome-wide analysis of circulating blood DNA CpG methylation using the Infinium Human MethylationEPIC BeadChip on 124 blood samples from hospitalized COVID-19-positive and COVID-19-negative patients and compared these data with previously reported data from 39 healthy individuals collected before the pandemic. Prospective outcome measures such as COVID-19-GRAM risk-score and mortality were combined with methylation data.Global mean methylation levels did not differ between COVID-19 patients and healthy pre-pandemic controls. About 75% of acute illness-associated differentially methylated regions were located near gene promoter regions and were hypo-methylated in comparison with healthy pre-pandemic controls. Gene ontology analyses revealed terms associated with the immune response to viral infections and leukocyte activation; and disease ontology analyses revealed a predominance of autoimmune disorders. Among COVID-19-positive patients, worse outcomes were associated with a prevailing hyper-methylated status. Recursive feature elimination identified 77 differentially methylated positions predictive of COVID-19 severity measured by the GRAM-risk score.Our data contribute to the awareness that DNA methylation may influence the expression of genes that regulate COVID-19 progression and represent a targetable process in that setting."
Yes,20210607,EWAS,34008478,Epigenome-wide scan identifies differentially methylated regions for lung cancer using pre-diagnostic peripheral blood.,Epigenetics,"DNA methylation markers have been associated with lung cancer risk and may identify aetiologically relevant genomic regions, or alternatively, be markers of disease risk factors or biological processes associated with disease development.In a nested case-control study, we measured blood leukocyte DNA methylation levels in pre-diagnostic samples collected from 430 participants (208 cases; 222 controls) in the 1989 CLUE II cohort. We compared DNA methylation levels with case/control status to identify novel genomic regions, both single CpG sites and differentially methylated regions (DMRs), while controlling for known DNA methylation changes associated with smoking using a previously described pack-years-based smoking methylation score. Stratification analyses were conducted over time from blood draw to diagnosis, histology, and smoking status.We identified 16 single CpG sites and 40 DMRs significantly associated with lung cancer risk (q < 0.05). The identified genomic regions were associated with genes including H19, HOXA3/HOXA4, RUNX3, BRICD5, PLXNB2, and RP13. For the single CpG sites, the strongest association was noted for cg09736286 in the DIABLO gene (OR [for 1 SD] = 2.99, 95% CI: 1.95-4.59, P-value = 4.81 × 10-7). We found that CpG sites in the HOXA3/HOXA4 region were hypermethylated in cases compared to controls.The single CpG sites and DMRs that we identified represented significant measurable differences in lung cancer risk, providing potential biomarkers for lung cancer risk stratification. Future studies will need to examine whether these regions are causally related to lung cancer."
Yes,20210607,EWAS,33993705,Genome-wide associations between alcohol consumption and blood DNA methylation: evidence from twin study.,Epigenomics,"Aim:Alcohol intake alters DNA methylation profiles and methylation might mediate the association between alcohol and disease, but limited number of positive CpG sites repeatedly replicated.Materials & methods:In total, 57 monozygotic (MZ) twin pairs discordant for alcohol drinking from the Chinese National Twin Registry and 158 MZ and dizygotic twin pairs in the Swedish Adoption/Twin Study of Aging were evaluated. DNA methylation was detected using the Infinium HumanMethylation450 BeadChip.Results:Among candidate CpG sites, cg07326074 was significantly correlated with drinking after adjusting for covariates in MZ twins in both datasets but not in the entire sample or dizygotic twins.Conclusion:The hypermethylation of cg07326074, located in the tumor-promoting geneC16orf59, was associated with alcohol consumption."
Yes,20210607,EWAS,33990564,Epigenome-wide association meta-analysis of DNA methylation with coffee and tea consumption.,Nat Commun,"Coffee and tea are extensively consumed beverages worldwide which have received considerable attention regarding health. Intake of these beverages is consistently linked to, among others, reduced risk of diabetes and liver diseases; however, the mechanisms of action remain elusive. Epigenetics is suggested as a mechanism mediating the effects of dietary and lifestyle factors on disease onset. Here we report the results from epigenome-wide association studies (EWAS) on coffee and tea consumption in 15,789 participants of European and African-American ancestries from 15 cohorts. EWAS meta-analysis of coffee consumption reveals 11 CpGs surpassing the epigenome-wide significance threshold (P-value <1.1×10-7), which annotated to the AHRR, F2RL3, FLJ43663, HDAC4, GFI1 and PHGDH genes. Among them, cg14476101 is significantly associated with expression of the PHGDH and risk of fatty liver disease. Knockdown of PHGDH expression in liver cells shows a correlation with expression levels of genes associated with circulating lipids, suggesting a role of PHGDH in hepatic-lipid metabolism. EWAS meta-analysis on tea consumption reveals no significant association, only two CpGs annotated to CACNA1A and PRDM16 genes show suggestive association (P-value <5.0×10-6). These findings indicate that coffee-associated changes in DNA methylation levels may explain the mechanism of action of coffee consumption in conferring risk of diseases."
Yes,20210607,EWAS,33980183,Genome-wide analysis of DNA methylation and risk of cardiovascular disease in a Chinese population.,BMC Cardiovasc Disord,"Systemic studies of association of genome-wide DNA methylated sites with cardiovascular disease (CVD) in prospective cohorts are lacking. Our aim was to identify DNA methylation sites associated with the risk of CVD and further investigate their potential predictive value in CVD development for high-risk subjects.We performed an epigenome-wide association study (EWAS) to identify CpGs related to CVD development in a Chinese population.We adopted a nested case-control design based on data from China PEACE Million Persons Project. A total of 83 cases who developed CVD events during follow-up and 83 controls who were matched with cases by age, sex, BMI, ethnicity, medications treatment and behavior risk factors were included in the discovery stage. Genome-wide DNA methylation from whole blood was detected using Infinium Human Methylation EPIC Beadchip (850 K). For significant CpGs [FDR(false discovery rate) < 0.005], we further validated in an independent cohort including 38 cases and 38 controls.In discovery set, we identified 8 significant CpGs (FDR < 0.005) associated with the risk of CVD after adjustment for cell components, demographic and cardiac risk factors and the first 5 principal components. Two of these identified CpGs (cg06901278 and cg09306458 in UACA) were replicated in another independent set (p < 0.05). Enrichment analysis in 787 individual genes from 1036 CpGs in discovery set revealed a significant enrichment for anatomical structure homeostasis as well as regulation of vesicle-mediated transport. Receiver operating characteristic (ROC) analysis showed that the model combined 8 CVD-related CpGs with baseline characteristics showed much better predictive effect for CVD occurrence compared with the model with baseline characteristics only [AUC (area under the curve) = 0.967, 95% CI (0.942 - 0.991); AUC = 0.621, 95% CI (0.536 - 0.706); p = 9.716E-15].Our study identified the novel CpGs associated with CVD development and revealed their additional predictive power in the risk of CVD for high-risk subjects."
Yes,20210607,EWAS,33964519,Differential DNA Methylation is associated with Hippocampal Abnormalities in Pediatric Posttraumatic Stress Disorder.,Biol Psychiatry Cogn Neurosci Neuroimaging,"Recent findings in neuroimaging and epigenetics offer important insights into brain structures and biological pathways of altered gene expression associated with posttraumatic stress disorder (PTSD). However, it is unknown to what extent epigenetic mechanisms are associated with PTSD and its neurobiology in youth.In this study we combined a methylome-wide association study and structural neuroimaging measures in a Dutch cohort of youth with PTSD (ages 8-18 years). We aimed to replicate findings in a similar independent American cohort.We found significant methylome-wide associations for pediatric PTSD (FDR p <0.05) compared to non-PTSD control groups (traumatized and non-traumatized youth). Methylation differences on 9 genes were replicated, including genes related to glucocorticoid functioning. In both cohorts, methylation on OLFM3 gene was further associated with anterior hippocampal volume.These findings point to molecular pathways involved in inflammation, stress response, and neuroplasticity as potential contributors to neural abnormalities and provide potentially unique biomarkers and treatment targets for pediatric PTSD.Copyright © 2021. Published by Elsevier Inc."
Yes,20210607,EWAS,34044884,A cross-cohort analysis of autosomal DNA methylation sex differences in the term placenta.,Biol Sex Differ,"Human placental DNA methylation (DNAme) data is a valuable resource for studying sex differences during gestation, as DNAme profiles after delivery reflect the cumulative effects of gene expression patterns and exposures across gestation. Here, we present an analysis of sex differences in autosomal DNAme in the uncomplicated term placenta (n = 343) using the Illumina 450K array.At a false discovery rate < 0.05 and a mean sex difference in DNAme beta value of > 0.10, we identified 162 autosomal CpG sites that were differentially methylated by sex and replicated in an independent cohort of samples (n = 293). Several of these differentially methylated CpG sites were part of larger correlated regions of sex differential DNAme. Although global DNAme levels did not differ by sex, the majority of significantly differentially methylated CpGs were more highly methylated in male placentae, the opposite of what is seen in differential methylation analyses of somatic tissues. Patterns of autosomal DNAme at these 162 CpGs were significantly associated with maternal age (in males) and newborn birthweight standard deviation (in females).Our results provide a comprehensive analysis of sex differences in autosomal DNAme in the term human placenta. We report a list of high-confidence autosomal sex-associated differentially methylated CpGs and identify several key features of these loci that suggest their relevance to sex differences observed in normative and complicated pregnancies."
