"pmid","title","source","abstract"
"33854627","Promoter hypermethylation of early B cell factor 1 (EBF1) is associated with cholangiocarcinoma progression.","J Cancer",NA
"33854195","Multi-omics phenotyping of the gut-liver axis reveals metabolic perturbations from a low-dose pesticide mixture in rats.","Commun Biol",NA
"33853770","Establishing RNA-RNA interactions remodels lncRNA structure and promotes PRC2 activity.","Sci Adv",NA
"33850662","Systematic analysis of JmjC gene family and stress--response expression of KDM5 subfamily genes in <i>Brassica napus</i>.","PeerJ",NA
"33849548","DNA methylation in the adipose tissue and whole blood of Agent Orange-exposed Operation Ranch Hand veterans: a pilot study.","Environ Health",NA
"33848004","Age-Related Macular Degeneration: From Epigenetics to Therapeutic Implications.","Adv Exp Med Biol","Aberrant regulation of epigenetic mechanisms, including the two most common types; DNA methylation and histone modification have been implicated in common chronic progressive conditions, including Alzheimer disease, cardiovascular disease, and age-related macular degeneration (AMD). All these conditions are complex, meaning that environmental factors, genetic factors, and their interactions play a role in disease pathophysiology. Although genome wide association studies (GWAS), and studies on twins demonstrate the genetic/hereditary component to these complex diseases, including AMD, this contribution is much less than 100%. Moreover, the contribution of the hereditary component decreases in the advanced, later onset forms of these chronic diseases including AMD. This underscores the need to elucidate how the genetic and environmental factors function to exert their influence on disease pathophysiology. By teasing out epigenetic mechanisms and how they exert their influence on AMD, therapeutic targets can be tailored to prevent and/or slow down disease progression. Epigenetic studies that incorporate well-characterized patient tissue samples (including affected tissues and peripheral blood), similar to those relevant to gene expression studies, along with genetic and epidemiological information, can be the first step in developing appropriate functional assays to validate findings and identify potential therapies."
"33846747","Evaluation of genome-wide DNA methylation profile of human embryos with different developmental competences.","Hum Reprod","Do embryos with different developmental competence exhibit different DNA methylation profiles at the blastocyst stage?We established genome-wide DNA methylome analysis for embryo trophectoderm (TE) biopsy samples and our findings demonstrated correlation of methylation profile of trophectoderm with euploidy status and with maternal age, indicating that genome-wide methylation level might be negatively correlated with embryo quality.DNA methylation is a fundamental epigenetic regulatory mechanism that affects differentiation of cells into their future lineages during pre-implantation embryo development. Currently there is no established approach available to assess the epigenetic status of the human preimplantation embryo during routine IVF treatment.In total, we collected trophectoderm biopsy samples from 30 randomly selected human blastocysts and conducted whole-genome bisulfite sequencing (WGBS) to evaluate their DNA methylation profile. Nested linear models were used to assess association between DNA methylation level and ploidy status (aneuploidy [n = 20] vs. euploidy [n = 10]), maternal age (29.4-42.5 years old), and time of blastulation (day 5 [n = 16] vs. day 6 [n = 14]), using embryo identity as a covariate.TE biopsy samples were obtained and submitted to bisulfite conversion. For WGBS, whole-genome sequencing libraries were then generated from the converted genome. An average of 75 million reads were obtained for each sample, and about 63% of the reads aligned to human reference. An average of 40 million reads used for the final analysis after the unconverted reads were filtered out.We revealed an increase of genome-wide DNA methylation level in aneuploid embryo TE biopsies compared to euploid embryos (25.4% ± 3.2% vs. 24.7% ± 3.2%, P < 0.005). We also found genome-wide DNA methylation level to be increased with the maternal age (P < 0.005). On a chromosomal scale, we found monosomic embryos have lower methylation levels on the involved chromosome while no drastic change was observed for the involved chromosome in trisomies. Additionally, we revealed that WGBS data precisely revealed the chromosome copy number variance.Though our results demonstrated a negative correlation of genome-wide methylation level and embryo quality, further WGBS analysis on a greater number of embryos and specific investigation of its correlation with implantation and live birth are needed before any practical use of this approach for evaluation of embryo competence.This study revealed a change in genome-wide DNA methylation profile among embryos with different developmental potentials, reinforcing the critical role of DNA methylation in early development.No external funding was received for this study. Intramural funding was provided by the Foundation for Embryonic Competence (FEC). E.S. is a consultant for and receives research funding from the Foundation for Embryonic Competence; he is also co-founder and a shareholder of ACIS LLC and coholds patent US2019/055906 issued for utilizing electrical resistance measurement for assessing cell viability and cell membrane piercing.N/A.© The Author(s) 2021. Published by Oxford University Press on behalf of European Society of Human Reproduction and Embryology. All rights reserved. For permissions, please email: journals.permissions@oup.com."
"33845866","DNA methylation in cord blood in association with prenatal depressive symptoms.","Clin Epigenetics","Prenatal symptoms of depression (PND) and anxiety affect up to every third pregnancy. Children of mothers with mental health problems are at higher risk of developmental problems, possibly through epigenetic mechanisms together with other factors such as genetic and environmental. We investigated DNA methylation in cord blood in relation to PND, taking into consideration a history of depression, co-morbidity with anxiety and selective serotonin reuptake inhibitors (SSRI) use, and stratified by sex of the child. Mothers (N = 373) prospectively filled out web-based questionnaires regarding mood symptoms and SSRI use throughout pregnancy. Cord blood was collected at birth and DNA methylation was measured using Illumina MethylationEPIC array at 850 000 CpG sites throughout the genome. Differentially methylated regions were identified using Kruskal-Wallis test, and Benjamini-Hochberg adjusted p-values < 0.05 were considered significant.No differential DNA methylation was associated with PND alone; however, differential DNA methylation was observed in children exposed to comorbid PND with anxiety symptoms compared with healthy controls in ABCF1 (log twofold change - 0.2), but not after stratification by sex of the child. DNA methylation in children exposed to PND without SSRI treatment and healthy controls both differed in comparison with SSRI exposed children at several sites and regions, among which hypomethylation was observed in CpGs in the promoter region of CRBN (log2 fold change - 0.57), involved in brain development, and hypermethylation in MDFIC (log2 fold change 0.45), associated with the glucocorticoid stress response.Although it is not possible to assess if these methylation differences are due to SSRI treatment itself or to more severe depression, our findings add on to existing knowledge that there might be different biological consequences for the child depending on whether maternal PND was treated with SSRIs or not."
"33844651","Potential reversal of epigenetic age using a diet and lifestyle intervention: a pilot randomized clinical trial.","Aging (Albany NY)","Manipulations to slow biological aging and extend healthspan are of interest given the societal and healthcare costs of our aging population. Herein we report on a randomized controlled clinical trial conducted among 43 healthy adult males between the ages of 50-72. The 8-week treatment program included diet, sleep, exercise and relaxation guidance, and supplemental probiotics and phytonutrients. The control group received no intervention. Genome-wide DNA methylation analysis was conducted on saliva samples using the Illumina Methylation Epic Array and DNAmAge was calculated using the online Horvath DNAmAge clock (2013). The diet and lifestyle treatment was associated with a 3.23 years decrease in DNAmAge compared with controls (p=0.018). DNAmAge of those in the treatment group decreased by an average 1.96 years by the end of the program compared to the same individuals at the beginning with a strong trend towards significance (p=0.066). Changes in blood biomarkers were significant for mean serum 5-methyltetrahydrofolate (+15%, p=0.004) and mean triglycerides (-25%, p=0.009). To our knowledge, this is the first randomized controlled study to suggest that specific diet and lifestyle interventions may reverse Horvath DNAmAge (2013) epigenetic aging in healthy adult males. Larger-scale and longer duration clinical trials are needed to confirm these findings, as well as investigation in other human populations."
"33844406","The interplay between DNA and histone methylation: molecular mechanisms and disease implications.","EMBO Rep","Methylation of cytosine in CpG dinucleotides and histone lysine and arginine residues is a chromatin modification that critically contributes to the regulation of genome integrity, replication, and accessibility. A strong correlation exists between the genome-wide distribution of DNA and histone methylation, suggesting an intimate relationship between these epigenetic marks. Indeed, accumulating literature reveals complex mechanisms underlying the molecular crosstalk between DNA and histone methylation. These in vitro and in vivo discoveries are further supported by the finding that genes encoding DNA- and histone-modifying enzymes are often mutated in overlapping human diseases. Here, we summarize recent advances in understanding how DNA and histone methylation cooperate to maintain the cellular epigenomic landscape. We will also discuss the potential implication of these insights for understanding the etiology of, and developing biomarkers and therapies for, human congenital disorders and cancers that are driven by chromatin abnormalities.© 2021 The Authors."
