"pmid","title","source","abstract"
"36786322","DNA-methylation and immunological response in medication overuse headache.","Cephalalgia","To investigate whether medication-overuse headache patients have differential DNA-methylation pattern.We collected blood samples from 120 medication-overuse headache-patients, 57 controls (29 episodic migraine patients and 28 healthy controls) in a hypothesis-generating cross-sectional case-control pilot study; 100 of the medication-overuse headache-patients were followed for six months and samples were collected at two and six months for the longitudinal methylation analyses. Blood cell proportions of leucocytes (neutrophils, NK-cells, monocytes, CD8+ and CD4+ T-cells, and B-cells) and the neutrophile-lymphocyte ratio were estimated using methylation data as a measure for immunological analysis and a cell type-specific epigenome wide association study was conducted between medication-overuse headache-patients and controls, and longitudinally for reduction in headache days/month among medication-overuse headache-patients.We found a higher neutrophile-lymphocyte ratio in medication-overuse headache-patients compared to controls, indicating a higher immunological response in medication-overuse headache-patients (false discovery rate (adjusted p-value)<0.001). Reduction in headache days/month (9.8; 95% CI 8.1-11.5) was associated with lower neutrophile-lymphocyte ratio (false discovery rate adjusted p-value = 0.041).Three genes (CORIN, CCKBRandCLDN9) were hypermethylated in specific cell types in medication-overuse headache-patients compared to controls. No methylation differences were associated with reduction in headache days in medication-overuse headache-patients after six months.This pilot study was consistent with higher immunological response in medication-overuse headache-patients which decreased with a reduction in headache days in longitudinal analysis. medication-overuse headache-patients exhibited differential methylation in innate immune cells but did not exhibit longitudinal differences with alterations in headache days. Our study creates hypotheses for further biomarker searches.ClinicalTrials.gov Identifier:NCT02993289."
"36782243","Epigenome-wide analysis of aging effects on liver regeneration.","BMC Biol","Aging is known to exert an effect on liver regeneration, with the ability of liver to regenerate displaying a significant decline over time. Liver physiological parameters such as liver volume, blood flow, and metabolism, as well as the ability to regenerate after injury have all been shown to decrease at old age in humans and model systems, with a number of molecular mechanisms proposed to be involved, including DNA methylation-dependent genome remodeling. To address how changes in DNA methylation mediate the adverse aging effect on liver regeneration, we searched for differentially methylated genomic regions (DMRs) in mouse livers co-regulated by aging and regeneration and determined their associated genes and enriched pathways.DMRs were identified using whole-genome bisulfite sequencing (WGBS). Pathway analysis of aging DMR-mapped genes revealed two distinct phases of aging, 2-to-8 and 8-to-16 months old (m/o). Regenerative DMR-mapped differentially expressed genes (DEGs) were enriched in pathways controlling cell proliferation and differentiation. Most DMRs shared by both aging and regeneration changed in the same methylation direction between 2 and 8 m/o but in the opposite direction between 8 and 16 m/o. Regenerative DMRs inversely affected by aging during 8-to-16 m/o were found in the promoter/gene regions of 12 genes. Four regenerative DEGs were synchronously regulated by early aging and inversely regulated by mid-to-late aging DMRs. Lead DMR-mapped genes were validated by their expression profiles in liver aging and regeneration.Our study has uncovered new DMRs and gene targets inversely affected by liver aging and regeneration to explain the adverse aging effect on liver regeneration. These findings will be of fundamental importance to understand the epigenomic changes underlying the biology of aging on liver regeneration.© 2023. The Author(s)."
"36782224","DNA methylation in peripheral blood leukocytes for the association with glucose metabolism and invasive breast cancer.","Clin Epigenetics","Insulin resistance (IR) is a well-established factor for breast cancer (BC) risk in postmenopausal women, but the interrelated molecular pathways on the methylome are not explicitly described. We conducted a population-level epigenome-wide association (EWA) study for DNA methylation (DNAm) probes that are associated with IR and prospectively correlated with BC development, both overall and in BC subtypes among postmenopausal women.We used data from Women's Health Initiative (WHI) ancillary studies for our EWA analyses and evaluated the associations of site-specific DNAm across the genome with IR phenotypes by multiple regressions adjusting for age and leukocyte heterogeneities. For our analysis of the top 20 IR-CpGs with BC risk, we used the WHI and the Cancer Genomic Atlas (TCGA), using multiple Cox proportional hazards and logit regressions, respectively, accounting for age, diabetes, obesity, leukocyte heterogeneities, and tumor purity (for TCGA). We further conducted a Gene Set Enrichment Analysis.We detected several EWA-CpGs in TXNIP, CPT1A, PHGDH, and ABCG1. In particular, cg19693031 in TXNIP was replicated in all IR phenotypes, measured by fasting levels of glucose, insulin, and homeostatic model assessment-IR. Of those replicated IR-genes, 3 genes (CPT1A, PHGDH, and ABCG1) were further correlated with BC risk; and 1 individual CpG (cg01676795 in POR) was commonly detected across the 2 cohorts.Our study contributes to better understanding of the interconnected molecular pathways on the methylome between IR and BC carcinogenesis and suggests potential use of DNAm markers in the peripheral blood cells as preventive targets to detect an at-risk group for IR and BC in postmenopausal women.© 2023. The Author(s)."
"36778507","A Higher Dysregulation Burden of Brain DNA Methylation in Female Patients Implicated in the Sex Bias of Schizophrenia.","Res Sq","Sex differences are pervasive in schizophrenia (SCZ), but the extent and magnitude of DNA methylation (DNAm) changes underlying these differences remain uncharacterized. In this study, sex-stratified differential DNAm analysis was performed in postmortem brain samples from 117 SCZ and 137 controls, partitioned into discovery and replication datasets. Three differentially methylated positions (DMPs) were identified (adj.p < 0.05) in females and 29 DMPs in males without overlap between them. Over 81% of these sex-stratified DMPs were directionally consistent between sexes but with different effect sizes. Down-sampling analysis revealed more DMPs in females than in males when the sample sizes matched. Females had higher DNAm levels in healthy individuals and larger magnitude of DNAm changes in patients than males. Despite similar proportions of female-related DMPs (fDMPs, 8%) being under genetic control compared with males (10%), significant enrichment of DMP-related SNPs in signals of genome-wide association studies was identified only in fDMPs. One DMP in each sex connected the SNPs and gene expression ofCALHM1in females andCCDC149in males. PPI subnetworks revealed that both female- and male-related differential DNAm interacted with synapse-related dysregulation. Immune-related pathways were unique for females and neuron-related pathways were associated with males. This study reveals remarkable quantitative differences in DNAm-related sexual dimorphism in SCZ and that females have a higher dysregulation burden of SCZ-associated DNAm than males."
"36778111","Acquired resistance to EGFR-TKIs in NSCLC mediates epigenetic downregulation of MUC17 by facilitating NF-ÎºB activity via UHRF1/DNMT1 complex.","Int J Biol Sci","Treatment with epidermal growth factor receptor (EGFR) tyrosine kinase inhibitors (TKIs) has brought significant benefits to non-small cell lung cancer (NSCLC) patients with EGFR mutations. However, most patients eventually develop acquired resistance after treatment. This study investigated the epigenetic effects of mucin 17 (MUC17) in acquired drug-resistant cells of EGFR-TKIs. We found that GR/OR (gefitinib/osimertinib-resistance) cells enhance genome-wide DNA hypermethylation, mainly in 5-UTR associated with multiple oncogenic pathways, in which GR/OR cells exerted a pro-oncogenic effect by downregulating mucin 17 (MUC17) expression in a dose- and time-dependent manner. Gefitinib/osimertinib acquired resistance mediated down-regulation of MUC17 by promoting DNMT1/UHRF1 complex-dependent promoter methylation, thereby activating NF-κB activity. MUC17 increased the generation of IκB-α and inhibit NF-κB activity by promoting the expression of MZF1.In vivoresults also showed that DNMT1 inhibitor (5-Aza) in combination with gefitinib/osimertinib restored sensitivity to OR/GR cells. Acquired drug resistance of gefitinib/osimertinib promoted UHRF1/DNMT1 complex to inhibit the expression of MUC17. MUC17 in GR/OR cells may act as an epigenetic sensor for biomonitoring the resistance to EGFR-TKIs.© The author(s)."
"36774548","A bacteriocyte symbiont determines whitefly sex ratio by regulating mitochondrial function.","Cell Rep","Nutritional symbionts influence host reproduction, but the underlying molecular mechanisms are largely unclear. We previously found that the bacteriocyte symbiont Hamiltonella impacts the sex ratio of the whitefly Bemisia tabaci. Hamiltonella synthesizes folate by cooperation with the whitefly. Folate deficiency by Hamiltonella elimination or whitefly gene silencing distorted whitefly sex ratio, and folate supplementation restored the sex ratio. Hamiltonella deficiency or gene silencing altered histone H3 lysine 9 trimethylation (H3K9me3) level, which was restored by folate supplementation. Genome-wide chromatin immunoprecipitation-seq analysis of H3K9me3 indicated mitochondrial dysfunction in symbiont-deficient whiteflies. Hamiltonella deficiency compromised mitochondrial quality of whitefly ovaries. Repressing ovary mitochondrial function led to distorted whitefly sex ratio. These findings indicate that the symbiont-derived folate regulates host histone methylation modifications, which thereby impacts ovary mitochondrial function, and finally determines host sex ratio. Our study suggests that a nutritional symbiont can regulate animal reproduction in a way that differs from reproductive manipulators.Copyright © 2023 The Author(s). Published by Elsevier Inc. All rights reserved."
"36773096","DNA methylation changes and increased mRNA expression of coagulation proteins, factor V and thrombomodulin in Fuchs endothelial corneal dystrophy.","Cell Mol Life Sci","Late-onset Fuchs endothelial corneal dystrophy (FECD) is a disease affecting the corneal endothelium (CE), associated with a cytosine-thymine-guanine repeat expansion at the CTG18.1 locus in the transcription factor 4 (TCF4) gene. It is unknown whether CTG18.1 expansions affect global methylation including TCF4 gene in CE or whether global CE methylation changes at advanced age. Using genome-wide DNA methylation array, we investigated methylation in CE from FECD patients with CTG18.1 expansions and studied the methylation in healthy CE at different ages. The most revealing DNA methylation findings were analyzed by gene expression and protein analysis. 3488 CpGs had significantly altered methylation pattern in FECD though no substantial changes were found in TCF4. The most hypermethylated site was in a predicted promoter of aquaporin 1 (AQP1) gene, and the most hypomethylated site was in a predicted promoter of coagulation factor V (F5 for gene, FV for protein). In FECD, AQP1 mRNA expression was variable, while F5 gene expression showed a ~ 23-fold increase. FV protein was present in both healthy and affected CE. Further gene expression analysis of coagulation factors interacting with FV revealed a ~ 34-fold increase of thrombomodulin (THBD). THBD protein was detected only in CE from FECD patients. Additionally, we observed an age-dependent hypomethylation in elderly healthy CE.Thus, tissue-specific genome-wide and gene-specific methylation changes associated with altered gene expression were discovered in FECD. TCF4 pathological methylation in FECD because of CTG18.1 expansion was ruled out.© 2023. The Author(s)."
"36769164","Epigenetic Regulation of Corneal Epithelial Differentiation by TET2.","Int J Mol Sci","Epigenetic DNA modification by 5-hydroxymethylcytosine (5hmC), generated by the Ten-eleven translocation (TET) dioxygenases, regulates diverse biological functions in many organ tissues, including the mammalian eye. For example, 5hmC has been shown to be involved in epigenetic regulation of retinal gene expression. However, a functional role of 5hmC in corneal differentiation has not been investigated to date. Here, we examined 5hmC and TET function in the human cornea. We found 5hmC highly expressed in MUC16-positive terminally differentiated cells that also co-expressed the 5hmC-generating enzyme TET2.TET2knockdown (KD) in cultured corneal epithelial cells led to significant reductions of 5hmC peak distributions and resulted in transcriptional repression of molecular pathways involved in corneal differentiation, as evidenced by downregulation of MUC4, MUC16, and Keratin 12. Additionally, integratedTET2KD RNA-seq and genome-wide Reduced Representation Hydroxymethylation Profiling revealed novel epigenetically regulated genes expressed by terminally differentiated cells, includingKRT78,MYEOV, andMAL. In aggregate, our findings reveal a novel function of TET2 in the epigenetic regulation of corneal epithelial gene expression and identify novel TET2-controlled genes expressed in differentiated corneal epithelial cells. These results point to potential roles for TET2 induction strategies to enhance treatment of corneal diseases associated with abnormal epithelial maturation."
"36768894","Dissecting the Complexity of Skeletal-Malocclusion-Associated Phenotypes: Mouse for the Rescue.","Int J Mol Sci","Skeletal deformities and malocclusions being heterogeneous traits, affect populations worldwide, resulting in compromised esthetics and function and reduced quality of life. Skeletal Class III prevalence is the least common of all angle malocclusion classes, with a frequency of 7.2%, while Class II prevalence is approximately 27% on average, varying in different countries and between ethnic groups. Orthodontic malocclusions and skeletal deformities have multiple etiologies, often affected and underlined by environmental, genetic and social aspects. Here, we have conducted a comprehensive search throughout the published data until the time of writing this review for already reported quantitative trait loci (QTL) and genes associated with the development of skeletal deformation-associated phenotypes in different mouse models. Our search has found 72 significant QTL associated with the size of the mandible, the character, shape, centroid size and facial shape in mouse models. We propose that using the collaborative cross (CC), a highly diverse mouse reference genetic population, may offer a novel venue for identifying genetic factors as a cause for skeletal deformations, which may help to better understand Class III malocclusion-associated phenotype development in mice, which can be subsequently translated to humans. We suggest that by performing a genome-wide association study (GWAS), an epigenetics-wide association study (EWAS), RNAseq analysis, integrating GWAS and expression quantitative trait loci (eQTL), micro and small RNA, and long noncoding RNA analysis in tissues associated with skeletal deformation and Class III malocclusion characterization/phenotypes, including mandibular basic bone, gum, and jaw, in the CC mouse population, we expect to better identify genetic factors and better understand the development of this disease."
"36768187","Unravelling Differential DNA Methylation Patterns in Genotype Dependent Manner under Salinity Stress Response in Chickpea.","Int J Mol Sci","DNA methylation is one of the epigenetic mechanisms that govern gene regulation in response to abiotic stress in plants. Here, we analyzed the role of epigenetic variations by exploring global DNA methylation and integrating it with differential gene expression in response to salinity stress in tolerant and sensitive chickpea genotypes. Genome-wide DNA methylation profiles showed higher CG methylation in the gene body regions and higher CHH methylation in the TE body regions. The analysis of differentially methylated regions (DMRs) suggested more hyper-methylation in response to stress in the tolerant genotype compared to the sensitive genotype. We observed higher enrichment of CG DMRs in genes and CHH DMRs in transposable elements (TEs). A positive correlation of gene expression with CG gene body methylation was observed. The enrichment analysis of DMR-associated differentially expressed genes revealed they are involved in biological processes, such as lateral root development, transmembrane transporter activity, GTPase activity, and regulation of gene expression. Further, a high correlation of CG methylation with CHG and CHH methylation under salinity stress was revealed, suggesting crosstalk among the methylation contexts. Further, we observed small RNA-mediated CHH hypermethylation in TEs. Overall, the interplay between DNA methylation, small RNAs, and gene expression provides new insights into the regulatory mechanism underlying salinity stress response in chickpeas."
