EC,type,pmid,title,source,abstract
no,DNAm age,35255955,Deconvolution of the epigenetic age discloses distinct inter-personal variability in epigenetic aging patterns.,Epigenetics Chromatin,"The epigenetic age can now be extrapolated from one of several epigenetic clocks, which are based on age-related changes in DNA methylation levels at specific multiple CpG sites. Accelerated aging, calculated from the discrepancy between the chronological age and the epigenetic age, has shown to predict morbidity and mortality rate. We assumed that deconvolution of epigenetic age to its components could shed light on the diversity of epigenetic, and by inference, on inter-individual variability in the causes of biological aging.Using the Horvath original epigenetic clock, we identified several CpG sites linked to distinct genes that quantitatively explain much of the inter-personal variability in epigenetic aging, with CpG sites related to secretagogin and malin being the most variable. We show that equal epigenetic age in different subjects can result from variable contribution size of the same CpG sites to the total epigenetic age. In a healthy cohort, the most variable CpG sites are responsible for accelerated and decelerated epigenetic aging, relative to chronological age.Of the 353 CpG sites that form the basis for the Horvath epigenetic age, we have found the CpG sites that are responsible for accelerated and decelerated epigenetic aging in healthy subjects. However, the relative contribution of each site to aging varies between individuals, leading to variable personal aging patterns. Our findings pave the way to form personalized aging cards allowing the identification of specific genes related to CpG sites, as aging markers, and perhaps treatment of these targets in order to hinder undesirable age drifting.© 2022. The Author(s)."
no,epigenetics,35157611,Ribosomal DNA methylation in human and mouse oocytes increases with age.,Aging (Albany NY),"An age-dependent increase in ribosomal DNA (rDNA) methylation has been observed across a broad spectrum of somatic tissues and the male mammalian germline. Bisulfite pyrosequencing (BPS) was used to determine the methylation levels of the rDNA core promoter and the rDNA upstream control element (UCE) along with two oppositely genomically imprinted control genes (PEG3andGTL2) in individual human germinal vesicle (GV) oocytes from 90 consenting women undergoing fertility treatment because of male infertility. Apart from a few (4%) oocytes with single imprinting defects (in eitherPEG3orGTL2), the analyzed GV oocytes displayed correct imprinting patterns. In 95 GV oocytes from 42 younger women (26-32 years), the mean methylation levels of the rDNA core promoter and UCE were 7.4±4.0% and 9.3±6.1%, respectively. In 79 GV oocytes from 48 older women (33-39 years), methylation levels increased to 9.3±5.3% (P= 0.014) and 11.6±7.4% (P= 0.039), respectively. An age-related increase in oocyte rDNA methylation was also observed in 123 mouse GV oocytes from 29 4-16-months-old animals. Similar to the continuously mitotically dividing male germline, ovarian aging is associated with a gain of rDNA methylation in meiotically arrested oocytes. Oocytes from the same woman can exhibit varying rDNA methylation levels and, by extrapolation, different epigenetic ages."
no,epigenetics,35166834,"DNA methylation cues in nucleosome geometry, stability and unwrapping.",Nucleic Acids Res,"Cytosine methylation at the 5-carbon position is an essential DNA epigenetic mark in many eukaryotic organisms. Although countless structural and functional studies of cytosine methylation have been reported, our understanding of how it influences the nucleosome assembly, structure, and dynamics remains obscure. Here, we investigate the effects of cytosine methylation at CpG sites on nucleosome dynamics and stability. By applying long molecular dynamics simulations on several microsecond time scale, we generate extensive atomistic conformational ensembles of full nucleosomes. Our results reveal that methylation induces pronounced changes in geometry for both linker and nucleosomal DNA, leading to a more curved, under-twisted DNA, narrowing the adjacent minor grooves, and shifting the population equilibrium of sugar-phosphate backbone geometry. These DNA conformational changes are associated with a considerable enhancement of interactions between methylated DNA and the histone octamer, doubling the number of contacts at some key arginines. H2A and H3 tails play important roles in these interactions, especially for DNA methylated nucleosomes. This, in turn, prevents a spontaneous DNA unwrapping of 3-4 helical turns for the methylated nucleosome with truncated histone tails, otherwise observed in the unmethylated system on several microseconds time scale.Published by Oxford University Press on behalf of Nucleic Acids Research 2022."
no,epigenetics,35256817,"Means, mechanisms and consequences of adenine methylation in DNA.",Nat Rev Genet,"N6-methyl-2'-deoxyadenosine (6mA or m6dA) has been reported in the DNA of prokaryotes and eukaryotes ranging from unicellular protozoa and algae to multicellular plants and mammals. It has been proposed to modulate DNA structure and transcription, transmit information across generations and have a role in disease, among other functions. However, its existence in more recently evolved eukaryotes remains a topic of debate. Recent technological advancements have facilitated the identification and quantification of 6mA even when the modification is exceptionally rare, but each approach has limitations. Critical assessment of existing data, rigorous design of future studies and further development of methods will be required to confirm the presence and biological functions of 6mA in multicellular eukaryotes.© 2022. Springer Nature Limited."
no,ewas,35232984,Preterm birth buccal cell epigenetic biomarkers to facilitate preventative medicine.,Sci Rep,"Preterm birth is the major cause of newborn and infant mortality affecting nearly one in every ten live births. The current study was designed to develop an epigenetic biomarker for susceptibility of preterm birth using buccal cells from the mother, father, and child (triads). An epigenome-wide association study (EWAS) was used to identify differential DNA methylation regions (DMRs) using a comparison of control term birth versus preterm birth triads. Epigenetic DMR associations with preterm birth were identified for both the mother and father that were distinct and suggest potential epigenetic contributions from both parents. The mother (165 DMRs) and female child (136 DMRs) at p < 1e-04 had the highest number of DMRs and were highly similar suggesting potential epigenetic inheritance of the epimutations. The male child had negligible DMR associations. The DMR associated genes for each group involve previously identified preterm birth associated genes. Observations identify a potential paternal germline contribution for preterm birth and identify the potential epigenetic inheritance of preterm birth susceptibility for the female child later in life. Although expanded clinical trials and preconception trials are required to optimize the potential epigenetic biomarkers, such epigenetic biomarkers may allow preventative medicine strategies to reduce the incidence of preterm birth.© 2022. The Author(s)."
yes,ewas,35236238,Maternal Mediterranean diet in pregnancy and newborn DNA methylation: a meta-analysis in the PACE Consortium.,Epigenetics,"Higher adherence to the Mediterranean diet during pregnancy is related to a lower risk of preterm birth and to better offspring cardiometabolic health. DNA methylation may be an underlying biological mechanism. We evaluated whether maternal adherence to the Mediterranean diet was associated with offspring cord blood DNA methylation.We meta-analysed epigenome-wide association studies (EWAS) of maternal adherence to the Mediterranean diet during pregnancy and offspring cord blood DNA methylation in 2802 mother-child pairs from five cohorts. We calculated the relative Mediterranean diet (rMED) score with range 0-18 and an adjusted rMED excluding alcohol (rMEDp, range 0-16). DNA methylation was measured using Illumina 450K arrays. We used robust linear regression modelling adjusted for child sex, maternal education, age, smoking, body mass index, energy intake, batch, and cell types. We performed several functional analyses and examined the persistence of differential DNA methylation into childhood (4.5-7.8 y).rMEDp was associated with cord blood DNA methylation at cg23757341 (0.064% increase in DNA methylation per 1-point increase in the rMEDp score, SE = 0.011,P= 2.41 × 10-8). This cytosine-phosphate-guanine (CpG) site maps toWNT5B, associated with adipogenesis and glycaemic phenotypes. We did not identify associations with childhood gene expression, nor did we find enriched biological pathways. The association did not persist into childhood.In this meta-analysis, maternal adherence to the Mediterranean diet (excluding alcohol) during pregnancy was associated with cord blood DNA methylation level at cg23757341. Potential mediation of DNA methylation in associations with offspring health requires further study."
yes,ewas,35236959,Molecular phenotypes associated with antipsychotic drugs in the human caudate nucleus.,Mol Psychiatry,"Antipsychotic drugs are the current first-line of treatment for schizophrenia and other psychotic conditions. However, their molecular effects on the human brain are poorly studied, due to difficulty of tissue access and confounders associated with disease status. Here we examine differences in gene expression and DNA methylation associated with positive antipsychotic drug toxicology status in the human caudate nucleus. We find no genome-wide significant differences in DNA methylation, but abundant differences in gene expression. These gene expression differences are overall quite similar to gene expression differences between schizophrenia cases and controls. Interestingly, gene expression differences based on antipsychotic toxicology are different between brain regions, potentially due to affected cell type differences. We finally assess similarities with effects in a mouse model, which finds some overlapping effects but many differences as well. As a first look at the molecular effects of antipsychotics in the human brain, the lack of epigenetic effects is unexpected, possibly because long term treatment effects may be relatively stable for extended periods.© 2022. The Author(s), under exclusive licence to Springer Nature Limited."
no,ewas,35237685,Does DNA methylation mediate the association of age at puberty with forced vital capacity or forced expiratory volume in 1 s?,ERJ Open Res,"Age of pubertal onset is associated with lung function in adulthood. However, the underlying role of epigenetics as a mediator of this association remains unknown.DNA methylation (DNAm) in peripheral blood was measured at age 18 years in the Isle of Wight birth cohort (IOWBC) along with data on age of pubertal events, forced vital capacity (FVC) and forced expiratory volume in 1 s (FEV1) at 26 years. Structural equation models were applied to examine mediation effects of DNAm on the association of age at pubertal events with FVC and FEV1. Findings were further tested in the Avon Longitudinal Study of Parents and Children (ALSPAC) cohort.In the IOWBC, for females, 21 cytosine-phosphate-guanine sites (CpGs) were shown to mediate the association of age at puberty with FVC or FEV1at 26 years (p<0.05). In males, DNAm at 20 CpGs was found to mediate the association of age at puberty with FVC (p<0.05). At almost all these CpGs, indirect effects (effects of age at pubertal events on FVC or FEV1viaDNAm) contributed a smaller portion to the total effects compared to direct effects (e.g.at cg08680129, ∼22% of the estimated total effect of age at menarche on FVC at age 26 was contributed by an indirect effect). Among the IOWBC-discovered CpGs available in ALSPAC, none of them was replicated in ALSPAC (p>0.05).Our findings suggest that post-adolescence DNAm in peripheral blood is likely not to mediate the association of age at pubertal onset with young adulthood FVC or FEV1.Copyright ©The authors 2022."
yes,ewas,35237744,Periconception and Prenatal Exposure to Maternal Perceived Stress and Cord Blood DNA Methylation.,Epigenet Insights,"Maternal prenatal stress is associated with physiologic and adverse mental health outcomes in the offspring, but the underlying biologic mechanisms are unknown. We examined the associations of maternal perceived stress, including preconception exposure, with DNA methylation (DNAm) alterations in the cord blood buffy coats of 358 singleton infants.Maternal perceived stress was measured prior to and throughout pregnancy in a cohort of women enrolled in Effects of Aspirin in Gestation and Reproduction Trial (EAGeR) trial. Perceived stress assessments based on a standardized Likert-scale were obtained in periconception (~2 months preconception and 2-8 weeks of gestation) and pregnancy (8-36 weeks of gestation). Cumulative perceived stress was estimated by calculating the predicted area under the curve of stress reported prior to and during pregnancy. DNAm was measured by the Infinium MethylationEPIC BeadChip. Multivariable robust linear regression was used to assess associations of perceived stress with individual CpG probes.Based on a 0 to 3 scale, average reported preconception and early pregnancy stress were 0.76 (0.60) and 0.67 (0.50), respectively. Average mid- to late-pregnancy stress, based on a 0 to 10 scale, was 4.9 (1.6). Neither periconception nor pregnancy perceived stress were associated with individual CpG sites in neonatal cord blood (all false discovery rate [FDR] >5%).No effects of maternal perceived stress exposure on array-wide cord blood neonatal methylation differences were found.© The Author(s) 2022."
no,ewas,35242787,Role of Age-Related Changes in DNA Methylation in the Disproportionate Susceptibility and Worse Outcomes of Sepsis in Older Adults.,Front Med (Lausanne),"Sepsis, a complex multisystem disorder, is among the top causes of hospitalization and mortality in older adults. However, the mechanisms underlying the disproportionate susceptibility to sepsis and worse outcomes in the elderly are not well understood. Recently, changes in DNA methylation have been shown to be linked to aging processes and age-related diseases. Thus, we postulated that age-related changes in DNA methylation may play a role in the onset and prognosis of sepsis in elderly patients. Here, we performed genome-wide methylation profiling of peripheral blood from patients with sepsis and controls. Among the CpG sites whose methylation changes may contribute to an increase in sepsis susceptibility or mortality, 241 sites that possessed age-related changes in DNA methylation in controls may partly explain the increased risk of sepsis in older adults, and 161 sites whose methylation significantly correlated with age in sepsis group may be the potential mechanisms underlying the worse outcomes of elderly septic patients. Finally, an independent cohort was used to validate our findings. Together, our study demonstrates that age-related changes in DNA methylation may explain in part the disproportionate susceptibility and worse outcomes of sepsis in older adults.Copyright © 2022 Lang, Shen, Zhu, Zhao, Chen, Zhu, Su, Wang, Wang, Neri, Jiang and Chen."
