PMID,phenotype,tissue,population,assocs,note,title,journal,abstract
34167563,CVD risk,whole blood,535 Swedish twins mean age 72.7,null,,The epigenetic etiology of cardiovascular disease in a longitudinal Swedish twin study.,Clin Epigenetics,
34214161,type 2 diabetes,whole blood,232 cases and 197 controls (Korean),8,,DNA Methylation Changes Associated with Type 2 Diabetes and Diabetic Kidney Disease in an East Asian Population.,J Clin Endocrinol Metab,"There is a growing body of evidence that epigenetic changes including DNA methylation influence the risk of type 2 diabetes (T2D) and its microvascular complications. We conducted a methylome-wide association study (MWAS) to identify differentially methylated sites (DMSs) of T2D and diabetic kidney disease (DKD) in a Korean population.We performed an MWAS in 232 participants with T2D and 197 non-diabetic controls with Illumina EPIC bead chip using peripheral blood leukocytes. T2D group was subdivided into 87 DKD cases and 80 non-DKD controls. Additional 819 individuals from two population-based cohorts were used to investigate the association of identified DMSs with quantitative metabolic phenotypes. Mendelian randomization (MR) approach was applied to evaluate the causal effect of metabolic phenotypes on identified DMSs.We identified eight DMSs (each at BMP8A, NBPF20, STX18, ZNF365, CPT1A, and TRIM37, and two at TXNIP) which were significantly associated with the risk of T2D (P < 9.0Ã—10 -8), including three that were previously known (DMSs in TXNIP and CPT1A). We also identified three DMSs (in COMMD1, TMOD1, and FHOD1) associated with DKD. With our limited sample size, we were not able to observe a significant overlap between DMSs of T2D and DKD. DMSs in TXNIP and CTP1A were associated with fasting glucose and HbA1c. In MR analysis, fasting glucose was causally associated with DMS in CPT1A.In an East Asian population, we identified eight DMSs, including five novel CpG loci, associated with T2D and three DMSs associated with DKD at methylome-wide statistical significance.Â© The Author(s) 2021. Published by Oxford University Press on behalf of the Endocrine Society. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com."
,diabetic kidney disease,,87 cases and 80 controls,3,,DNA Methylation Changes Associated with Type 2 Diabetes and Diabetic Kidney Disease in an East Asian Population.,J Clin Endocrinol Metab,"There is a growing body of evidence that epigenetic changes including DNA methylation influence the risk of type 2 diabetes (T2D) and its microvascular complications. We conducted a methylome-wide association study (MWAS) to identify differentially methylated sites (DMSs) of T2D and diabetic kidney disease (DKD) in a Korean population.We performed an MWAS in 232 participants with T2D and 197 non-diabetic controls with Illumina EPIC bead chip using peripheral blood leukocytes. T2D group was subdivided into 87 DKD cases and 80 non-DKD controls. Additional 819 individuals from two population-based cohorts were used to investigate the association of identified DMSs with quantitative metabolic phenotypes. Mendelian randomization (MR) approach was applied to evaluate the causal effect of metabolic phenotypes on identified DMSs.We identified eight DMSs (each at BMP8A, NBPF20, STX18, ZNF365, CPT1A, and TRIM37, and two at TXNIP) which were significantly associated with the risk of T2D (P < 9.0Ã—10 -8), including three that were previously known (DMSs in TXNIP and CPT1A). We also identified three DMSs (in COMMD1, TMOD1, and FHOD1) associated with DKD. With our limited sample size, we were not able to observe a significant overlap between DMSs of T2D and DKD. DMSs in TXNIP and CTP1A were associated with fasting glucose and HbA1c. In MR analysis, fasting glucose was causally associated with DMS in CPT1A.In an East Asian population, we identified eight DMSs, including five novel CpG loci, associated with T2D and three DMSs associated with DKD at methylome-wide statistical significance.Â© The Author(s) 2021. Published by Oxford University Press on behalf of the Endocrine Society. All rights reserved. For permissions, please e-mail: journals.permissions@oup.com."
,,,,,,,,
34183656,HDL;LDL;TG,whole blood,16265 multi-ethnic adults from 21 cohorts,49;24;119,most novel and not observed in ethnic-specific,A multi-ethnic epigenome-wide association study of leukocyte DNA methylation and blood lipids.,Nat Commun,"Here we examine the association between DNA methylation in circulating leukocytes and blood lipids in a multi-ethnic sample of 16,265 subjects. We identify 148, 35, and 4 novel associations among Europeans, African Americans, and Hispanics, respectively, and an additional 186 novel associations through a trans-ethnic meta-analysis. We observe a high concordance in the direction of effects across racial/ethnic groups, a high correlation of effect sizes between high-density lipoprotein and triglycerides, a modest overlap of associations with epigenome-wide association studies of other cardio-metabolic traits, and a largely non-overlap with lipid loci identified to date through genome-wide association studies. Thirty CpGs reached significance in at least 2 racial/ethnic groups including 7 that showed association with the expression of an annotated gene. CpGs annotated to CPT1A showed evidence of being influenced by triglycerides levels. DNA methylation levels of circulating leukocytes show robust and consistent association with blood lipid levels across multiple racial/ethnic groups."
,,,11K European adults from 12 cohorts,74;15;86,very little overlap between ethnicities,A multi-ethnic epigenome-wide association study of leukocyte DNA methylation and blood lipids.,Nat Commun,"Here we examine the association between DNA methylation in circulating leukocytes and blood lipids in a multi-ethnic sample of 16,265 subjects. We identify 148, 35, and 4 novel associations among Europeans, African Americans, and Hispanics, respectively, and an additional 186 novel associations through a trans-ethnic meta-analysis. We observe a high concordance in the direction of effects across racial/ethnic groups, a high correlation of effect sizes between high-density lipoprotein and triglycerides, a modest overlap of associations with epigenome-wide association studies of other cardio-metabolic traits, and a largely non-overlap with lipid loci identified to date through genome-wide association studies. Thirty CpGs reached significance in at least 2 racial/ethnic groups including 7 that showed association with the expression of an annotated gene. CpGs annotated to CPT1A showed evidence of being influenced by triglycerides levels. DNA methylation levels of circulating leukocytes show robust and consistent association with blood lipid levels across multiple racial/ethnic groups."
,,,4.5K African American adults from 7 cohorts,7;5;43,,A multi-ethnic epigenome-wide association study of leukocyte DNA methylation and blood lipids.,Nat Commun,"Here we examine the association between DNA methylation in circulating leukocytes and blood lipids in a multi-ethnic sample of 16,265 subjects. We identify 148, 35, and 4 novel associations among Europeans, African Americans, and Hispanics, respectively, and an additional 186 novel associations through a trans-ethnic meta-analysis. We observe a high concordance in the direction of effects across racial/ethnic groups, a high correlation of effect sizes between high-density lipoprotein and triglycerides, a modest overlap of associations with epigenome-wide association studies of other cardio-metabolic traits, and a largely non-overlap with lipid loci identified to date through genome-wide association studies. Thirty CpGs reached significance in at least 2 racial/ethnic groups including 7 that showed association with the expression of an annotated gene. CpGs annotated to CPT1A showed evidence of being influenced by triglycerides levels. DNA methylation levels of circulating leukocytes show robust and consistent association with blood lipid levels across multiple racial/ethnic groups."
,,,699 Hispanic adults from 2 cohorts,2;2;4,,A multi-ethnic epigenome-wide association study of leukocyte DNA methylation and blood lipids.,Nat Commun,"Here we examine the association between DNA methylation in circulating leukocytes and blood lipids in a multi-ethnic sample of 16,265 subjects. We identify 148, 35, and 4 novel associations among Europeans, African Americans, and Hispanics, respectively, and an additional 186 novel associations through a trans-ethnic meta-analysis. We observe a high concordance in the direction of effects across racial/ethnic groups, a high correlation of effect sizes between high-density lipoprotein and triglycerides, a modest overlap of associations with epigenome-wide association studies of other cardio-metabolic traits, and a largely non-overlap with lipid loci identified to date through genome-wide association studies. Thirty CpGs reached significance in at least 2 racial/ethnic groups including 7 that showed association with the expression of an annotated gene. CpGs annotated to CPT1A showed evidence of being influenced by triglycerides levels. DNA methylation levels of circulating leukocytes show robust and consistent association with blood lipid levels across multiple racial/ethnic groups."
31811260,hippocampal volume,whole blood,3337 individuals from 11 cohorts,2,,Epigenome-wide meta-analysis of blood DNA methylation and its association with subcortical volumes: findings from the ENIGMA Epigenetics Working Group,Mol Psychiatry,"DNA methylation, which is modulated by both genetic factors and environmental exposures, may offer a unique opportunity to discover novel biomarkers of disease-related brain phenotypes, even when measured in other tissues than brain, such as blood. A few studies of small sample sizes have revealed associations between blood DNA methylation and neuropsychopathology, however, large-scale epigenome-wide association studies (EWAS) are needed to investigate the utility of DNA methylation profiling as a peripheral marker for the brain. Here, in an analysis of eleven international cohorts, totalling 3337 individuals, we report epigenome-wide meta-analyses of blood DNA methylation with volumes of the hippocampus, thalamus and nucleus accumbens (NAcc)-three subcortical regions selected for their associations with disease and heritability and volumetric variability. Analyses of individual CpGs revealed genome-wide significant associations with hippocampal volume at two loci. No significant associations were found for analyses of thalamus and nucleus accumbens volumes. Cluster-based analyses revealed additional differentially methylated regions (DMRs) associated with hippocampal volume. DNA methylation at these loci affected expression of proximal genes involved in learning and memory, stem cell maintenance and differentiation, fatty acid metabolism and type-2 diabetes. These DNA methylation marks, their interaction with genetic variants and their impact on gene expression offer new insights into the relationship between epigenetic variation and brain structure and may provide the basis for biomarker discovery in neurodegeneration and neuropsychiatric conditions."
,thalamus volume,,,0,,Epigenome-wide meta-analysis of blood DNA methylation and its association with subcortical volumes: findings from the ENIGMA Epigenetics Working Group,Mol Psychiatry,"DNA methylation, which is modulated by both genetic factors and environmental exposures, may offer a unique opportunity to discover novel biomarkers of disease-related brain phenotypes, even when measured in other tissues than brain, such as blood. A few studies of small sample sizes have revealed associations between blood DNA methylation and neuropsychopathology, however, large-scale epigenome-wide association studies (EWAS) are needed to investigate the utility of DNA methylation profiling as a peripheral marker for the brain. Here, in an analysis of eleven international cohorts, totalling 3337 individuals, we report epigenome-wide meta-analyses of blood DNA methylation with volumes of the hippocampus, thalamus and nucleus accumbens (NAcc)-three subcortical regions selected for their associations with disease and heritability and volumetric variability. Analyses of individual CpGs revealed genome-wide significant associations with hippocampal volume at two loci. No significant associations were found for analyses of thalamus and nucleus accumbens volumes. Cluster-based analyses revealed additional differentially methylated regions (DMRs) associated with hippocampal volume. DNA methylation at these loci affected expression of proximal genes involved in learning and memory, stem cell maintenance and differentiation, fatty acid metabolism and type-2 diabetes. These DNA methylation marks, their interaction with genetic variants and their impact on gene expression offer new insights into the relationship between epigenetic variation and brain structure and may provide the basis for biomarker discovery in neurodegeneration and neuropsychiatric conditions."
