ec,date,type,pmid,title,source,abstract
No,20220411,cancer,35331302,Pan-cancer predictions of transcription factors mediating aberrant DNA methylation.,Epigenetics Chromatin,"Aberrant DNA methylation is a hallmark of cancer cells. However, the mechanisms underlying changes in DNA methylation remain elusive. Transcription factors initially thought to be repressed from binding by DNA methylation, have recently emerged as being able to shape DNA methylation patterns.Here, we integrated the massive amount of data available from The Cancer Genome Atlas to predict transcription factors driving aberrant DNA methylation in 13 cancer types. We identified differentially methylated regions between cancer and matching healthy samples, searched for transcription factor motifs enriched in those regions and selected transcription factors with corresponding changes in gene expression. We predict transcription factors known to be involved in cancer as well as novel candidates to drive hypo-methylated regions such as FOXA1 and GATA3 in breast cancer, FOXA1 and TWIST1 in prostate cancer and NFE2L2 in lung cancer. We also predict transcription factors that lead to hyper-methylated regions upon transcription factor loss such as EGR1 in several cancer types. Finally, we validate that FOXA1 and GATA3 mediate hypo-methylated regions in breast cancer cells.Our work highlights the importance of some transcription factors as upstream regulators shaping DNA methylation patterns in cancer.© 2022. The Author(s)."
No,20220411,cancer,35354049,Genome-wide identification and analysis of prognostic features in human cancers.,Cell Rep,"Clinical decisions in cancer rely on precisely assessing patient risk. To improve our ability to identify the most aggressive malignancies, we constructed genome-wide survival models using gene expression, copy number, methylation, and mutation data from 10,884 patients. We identified more than 100,000 significant prognostic biomarkers and demonstrate that these genomic features can predict patient outcomes in clinically ambiguous situations. While adverse biomarkers are commonly believed to represent cancer driver genes and promising therapeutic targets, we show that cancer features associated with shorter survival times are not enriched for either oncogenes or for successful drug targets. Instead, the strongest adverse biomarkers represent widely expressed cell-cycle and housekeeping genes, and, correspondingly, nearly all therapies directed against these features have failed in clinical trials. In total, our analysis establishes a rich resource for prognostic biomarker analysis and clarifies the use of patient survival data in preclinical cancer research and therapeutic development.Copyright © 2022 The Authors. Published by Elsevier Inc. All rights reserved."
No,20220411,chromatin,35332326,Chromatin domain alterations linked to 3D genome organization in a large cohort of schizophrenia and bipolar disorder brains.,Nat Neurosci,"Chromosomal organization, scaling from the 147-base pair (bp) nucleosome to megabase-ranging domains encompassing multiple transcriptional units, including heritability loci for psychiatric traits, remains largely unexplored in the human brain. In this study, we constructed promoter- and enhancer-enriched nucleosomal histone modification landscapes for adult prefrontal cortex from H3-lysine 27 acetylation and H3-lysine 4 trimethylation profiles, generated from 388 controls and 351 individuals diagnosed with schizophrenia (SCZ) or bipolar disorder (BD) (n = 739). We mapped thousands of cis-regulatory domains (CRDs), revealing fine-grained, 104-106-bp chromosomal organization, firmly integrated into Hi-C topologically associating domain stratification by open/repressive chromosomal environments and nuclear topography. Large clusters of hyper-acetylated CRDs were enriched for SCZ heritability, with prominent representation of regulatory sequences governing fetal development and glutamatergic neuron signaling. Therefore, SCZ and BD brains show coordinated dysregulation of risk-associated regulatory sequences assembled into kilobase- to megabase-scaling chromosomal domains.© 2022. The Author(s), under exclusive licence to Springer Nature America, Inc."
No,20220411,chromatin,35301427,Convergence of case-specific epigenetic alterations identify a confluence of genetic vulnerabilities tied to opioid overdose.,Mol Psychiatry,"Opioid use disorder is a highly heterogeneous disease driven by a variety of genetic and environmental risk factors which have yet to be fully elucidated. Opioid overdose, the most severe outcome of opioid use disorder, remains the leading cause of accidental death in the United States. We interrogated the effects of opioid overdose on the brain using ChIP-seq to quantify patterns of H3K27 acetylation in dorsolateral prefrontal cortical neurons isolated from 51 opioid-overdose cases and 51 accidental death controls. Among opioid cases, we observed global hypoacetylation and identified 388 putative enhancers consistently depleted for H3K27ac. Machine learning on H3K27ac patterns predicted case-control status with high accuracy. We focused on case-specific regulatory alterations, revealing 81,399 hypoacetylation events, uncovering vast inter-patient heterogeneity. We developed a strategy to decode this heterogeneity based on convergence analysis, which leveraged promoter-capture Hi-C to identify five genes over-burdened by alterations in their regulatory network or ""plexus"": ASTN2, KCNMA1, DUSP4, GABBR2, ENOX1. These convergent loci are enriched for opioid use disorder risk genes and heritability for generalized anxiety, number of sexual partners, and years of education. Overall, our multi-pronged approach uncovers neurobiological aspects of opioid use disorder and captures genetic and environmental factors perpetuating the opioid epidemic.© 2022. The Author(s), under exclusive licence to Springer Nature Limited."
No,20220411,dnam age,35313970,Genome-wide association studies identify novel genetic loci for epigenetic age acceleration among survivors of childhood cancer.,Genome Med,"Increased epigenetic age acceleration (EAA) in survivors of childhood cancer is associated with specific treatment exposures, unfavorable health behaviors, and presence of certain chronic health conditions. To better understand inter-individual variability, we investigated the genetic basis underlying EAA.Genome-wide association studies of EAA based on multiple epigenetic clocks (Hannum, Horvath, PhenoAge, and GrimAge) were performed. MethylationEPIC BeadChip array and whole-genome sequencing data were generated with blood-derived DNA from participants in the St. Jude Lifetime Cohort Study (discovery: 2138 pre-existing and 502 newly generated data, all survivors; exploratory: 282 community controls). Linear regression models were fit for each epigenetic age against the allelic dose of each genetic variant, adjusting for age at sampling, sex, and cancer treatment exposures. Fixed-effects meta-analysis was used to combine summary statistics from two discovery data sets. LD (Linkage disequilibrium) score regression was used to estimate single-nucleotide polymorphism (SNP)-based heritability.For EAA-Horvath, a genome-wide significant association was mapped to the SELP gene with the strongest SNP rs732314 (meta-GWAS: β=0.57, P=3.30×10-11). Moreover, the stratified analysis of the association between rs732314 and EAA-Horvath showed a substantial heterogeneity between children and adults (meta-GWAS: β=0.97 vs. 0.51, I2=73.1%) as well as between survivors with and without chest/abdominal/pelvic-RT exposure (β=0.64 vs. 0.31, I2=66.3%). For EAA-Hannum, an association was mapped to the HLA locus with the strongest SNP rs28366133 (meta-GWAS: β=0.78, P=3.78×10-11). There was no genome-wide significant hit for EAA-PhenoAge or EAA-GrimAge. Interestingly, among community controls, rs732314 was associated with EAA-Horvath (β=1.09, P=5.43×10-5), whereas rs28366133 was not associated with EAA-Hannum (β=0.21, P=0.49). The estimated heritability was 0.33 (SE=0.20) for EAA-Horvath and 0.17 (SE=0.23) for EAA-Hannum, but close to zero for EAA-PhenoAge and EAA-GrimAge.We identified novel genetic variants in the SELP gene and HLA region associated with EAA-Horvath and EAA-Hannum, respectively, among survivors of childhood cancer. The new genetic variants in combination with other replicated known variants can facilitate the identification of survivors at higher risk in developing accelerated aging and potentially inform drug targets for future intervention strategies among vulnerable survivors.© 2022. The Author(s)."
No,20220411,dnam age,35346416,Assessing the causal role of epigenetic clocks in the development of multiple cancers: a Mendelian randomization study.,Elife,"Background:Epigenetic clocks have been associated with cancer risk in several observational studies. Nevertheless, it is unclear whether they play a causal role in cancer risk or if they act as a non-causal biomarker.Methods:We conducted a two-sample Mendelian randomization (MR) study to examine the genetically predicted effects of epigenetic age acceleration as measured by HannumAge (9 single-nucleotide polymorphisms (SNPs)), Horvath Intrinsic Age (24 SNPs), PhenoAge (11 SNPs) and GrimAge (4 SNPs) on multiple cancers (i.e., breast, prostate, colorectal, ovarian and lung cancer). We obtained genome-wide association data for biological ageing from a meta-analysis (N=34,710), and for cancer from the UK Biobank (N cases=2,671-13,879; N controls=173,493-372,016), FinnGen (N cases=719-8,401; N controls=74,685-174,006) and several international cancer genetic consortia (N cases=11,348-122,977; N controls=15,861-105,974). Main analyses were performed using multiplicative random effects inverse variance weighted (IVW) MR. Individual study estimates were pooled using fixed effect meta-analysis. Sensitivity analyses included MR-Egger, weighted median, weighted mode and Causal Analysis using Summary Effect Estimates (CAUSE) methods, which are robust to some of the assumptions of the IVW approach.Results:Meta-analysed IVW MR findings suggested that higher GrimAge acceleration increased the risk of colorectal cancer (OR=1.12 per year increase in GrimAge acceleration, 95%CI 1.04-1.20,p=0.002). The direction of the genetically predicted effects was consistent across main and sensitivity MR analyses. Among subtypes, the genetically predicted effect of GrimAge acceleration was greater for colon cancer (IVW OR=1.15, 95%CI 1.09-1.21,p=0.006), than rectal cancer (IVW OR=1.05, 95%CI 0.97-1.13,p=0.24). Results were less consistent for associations between other epigenetic clocks and cancers.Conclusions:GrimAge acceleration may increase the risk of colorectal cancer. Findings for other clocks and cancers were inconsistent. Further work is required to investigate the potential mechanisms underlying the results.Funding:FMB was supported by a Wellcome Trust PhD studentship in Molecular, Genetic and Lifecourse Epidemiology (224982/Z/22/Z which is part of grant 218495/Z/19/Z). KKT was supported by a Cancer Research UK (C18281/A29019) programme grant (the Integrative Cancer Epidemiology Programme) and by the Hellenic Republic's Operational Programme 'Competitiveness, Entrepreneurship & Innovation' (OΠΣ 5047228). PH was supported by Cancer Research UK (C18281/A29019). RMM was supported by the NIHR Biomedical Research Centre at University Hospitals Bristol and Weston NHS Foundation Trust and the University of Bristol and by a Cancer Research UK (C18281/A29019) programme grant (the Integrative Cancer Epidemiology Programme). RMM is a National Institute for Health Research Senior Investigator (NIHR202411). The views expressed are those of the author(s) and not necessarily those of the NIHR or the Department of Health and Social Care. GDS and CLR were supported by the Medical Research Council (MC_UU_00011/1 and MC_UU_00011/5) and by a Cancer Research UK (C18281/A29019) programme grant (the Integrative Cancer Epidemiology Programme). REM was supported by an Alzheimer's Society project grant (AS-PG-19b-010) and NIH grant (U01 AG-18-018, PI: Steve Horvath). RCR is a de Pass Vice Chancellor's Research Fellow at the University of Bristol.© 2022, Morales Berstein et al."
Yes,20220411,eqtm,35302492,Identification of autosomal cis expression quantitative trait methylation (cis eQTMs) in children's blood.,Elife,"The identification of expression quantitative trait methylation (eQTMs), defined as associations between DNA methylation levels and gene expression, might help the biological interpretation of epigenome-wide association studies (EWAS). We aimed to identify autosomal cis eQTMs in children's blood, using data from 832 children of the Human Early Life Exposome (HELIX) project.Blood DNA methylation and gene expression were measured with the Illumina 450K and the Affymetrix HTA v2 arrays, respectively. The relationship between methylation levels and expression of nearby genes (1 Mb window centered at the transcription start site, TSS) was assessed by fitting 13.6 M linear regressions adjusting for sex, age, cohort, and blood cell composition.We identified 39,749 blood autosomal cis eQTMs, representing 21,966 unique CpGs (eCpGs, 5.7% of total CpGs) and 8,886 unique transcript clusters (eGenes, 15.3% of total transcript clusters, equivalent to genes). In 87.9% of these cis eQTMs, the eCpG was located at <250 kb from eGene's TSS; and 58.8% of all eQTMs showed an inverse relationship between the methylation and expression levels. Only around half of the autosomal cis-eQTMs eGenes could be captured through annotation of the eCpG to the closest gene. eCpGs had less measurement error and were enriched for active blood regulatory regions and for CpGs reported to be associated with environmental exposures or phenotypic traits. In 40.4% of the eQTMs, the CpG and the eGene were both associated with at least one genetic variant. The overlap of autosomal cis eQTMs in children's blood with those described in adults was small (13.8%), and age-shared cis eQTMs tended to be proximal to the TSS and enriched for genetic variants.This catalogue of autosomal cis eQTMs in children's blood can help the biological interpretation of EWAS findings and is publicly available at https://helixomics.isglobal.org/ and at Dryad (doi:10.5061/dryad.fxpnvx0t0).The study has received funding from the European Community's Seventh Framework Programme (FP7/2007-206) under grant agreement no 308333 (HELIX project); the H2020-EU.3.1.2. - Preventing Disease Programme under grant agreement no 874583 (ATHLETE project); from the European Union's Horizon 2020 research and innovation programme under grant agreement no 733206 (LIFECYCLE project), and from the European Joint Programming Initiative ""A Healthy Diet for a Healthy Life"" (JPI HDHL and Instituto de Salud Carlos III) under the grant agreement no AC18/00006 (NutriPROGRAM project). The genotyping was supported by the projects PI17/01225 and PI17/01935, funded by the Instituto de Salud Carlos III and co-funded by European Union (ERDF, ""A way to make Europe"") and the Centro Nacional de Genotipado-CEGEN (PRB2-ISCIII). BiB received core infrastructure funding from the Wellcome Trust (WT101597MA) and a joint grant from the UK Medical Research Council (MRC) and Economic and Social Science Research Council (ESRC) (MR/N024397/1). INMA data collections were supported by grants from the Instituto de Salud Carlos III, CIBERESP, and the Generalitat de Catalunya-CIRIT. KANC was funded by the grant of the Lithuanian Agency for Science Innovation and Technology (6-04-2014_31V-66). The Norwegian Mother, Father and Child Cohort Study is supported by the Norwegian Ministry of Health and Care Services and the Ministry of Education and Research. The Rhea project was financially supported by European projects (EU FP6-2003-Food-3-NewGeneris, EU FP6. STREP Hiwate, EU FP7 ENV.2007.1.2.2.2. Project No 211250 Escape, EU FP7-2008-ENV-1.2.1.4 Envirogenomarkers, EU FP7-HEALTH-2009- single stage CHICOS, EU FP7 ENV.2008.1.2.1.6. Proposal No 226285 ENRIECO, EU- FP7- HEALTH-2012 Proposal No 308333 HELIX), and the Greek Ministry of Health (Program of Prevention of obesity and neurodevelopmental disorders in preschool children, in Heraklion district, Crete, Greece: 2011-2014; ""Rhea Plus"": Primary Prevention Program of Environmental Risk Factors for Reproductive Health, and Child Health: 2012-15). We acknowledge support from the Spanish Ministry of Science and Innovation through the ""Centro de Excelencia Severo Ochoa 2019-2023"" Program (CEX2018-000806-S), and support from the Generalitat de Catalunya through the CERCA Program. MV-U and CR-A were supported by a FI fellowship from the Catalan Government (FI-DGR 2015 and #016FI_B 00272). MC received funding from Instituto Carlos III (Ministry of Economy and Competitiveness) (CD12/00563 and MS16/00128).© 2022, Ruiz-Arenas et al."
No,20220411,ewas,35305575,DNA methylation changes in cord blood and the developmental origins of health and disease - a systematic review and replication study.,BMC Genomics,"Environmental exposures in utero which modify DNA methylation may have a long-lasting impact on health and disease in offspring. We aimed to identify and replicate previously published genomic loci where DNA methylation changes are attributable to in utero exposures in the NutriGen birth cohort studies Alliance.We reviewed the literature to identify differentially methylated sites of newborn DNA which are associated with the following five traits of interest maternal diabetes, pre-pregnancy body mass index (BMI), diet during pregnancy, smoking, and gestational age. We then attempted to replicate these published associations in the Canadian Healthy Infant Longitudinal Development (CHILD) and the South Asian birth cohort (START) cord blood epigenome-wide data.We screened 68 full-text articles and identified a total of 17 cord blood epigenome-wide association studies (EWAS) of the traits of interest. Out of the 290 CpG sites reported, 19 were identified in more than one study; all of them associated with maternal smoking. In CHILD and START EWAS, thousands of sites associated with gestational age were identified and maintained significance after correction for multiple testing. In CHILD, there was differential methylation observed for 8 of the published maternal smoking sites. No other traits tested (i.e., folate levels, gestational diabetes, birthweight) replicated in the CHILD or START cohorts.Maternal smoking during pregnancy and gestational age are strongly associated with differential methylation in offspring cord blood, as assessed in the EWAS literature and our birth cohorts. There are a limited number of reported methylation sites associated in more than two independent studies related to pregnancy. Additional large studies of diverse populations with fine phenotyping are needed to produce robust epigenome-wide data in order to further elucidate the effect of intrauterine exposures on the infants' methylome.© 2022. The Author(s)."
Yes,20220411,ewas,35317219,Association of prenatal acetaminophen use and acetaminophen metabolites with DNA methylation of newborns: analysis of two consecutive generations of the Isle of Wight birth cohort.,Environ Epigenet,"Acetaminophen is used by nearly two-thirds of pregnant women. Although considered safe, studies have demonstrated associations between prenatal acetaminophen use and adverse health outcomes in offspring. Since DNA methylation (DNAm) at birth may act as an early indicator of later health, assessments on whether DNAm of newborns is associated with gestational acetaminophen use or its metabolites are needed. Using data from three consecutive generations of the Isle of Wight cohort (F0-grandmothers, F1-mothers, and F2-offspring) we investigated associations between acetaminophen metabolites in F0 serum at delivery with epigenome-wide DNAm in F1 (Guthrie cards) and between acetaminophen use of F1 and F2-cord-serum levels with F2 cord blood DNAm. In epigenome-wide screening, we eliminated non-informative DNAm sites followed by linear regression of informative sites. Based on repeated pregnancies, indication bias analyses tested whether acetaminophen indicated maternal diseases or has a risk in its own right. Considering that individuals with similar intake process acetaminophen differently, metabolites were clustered to distinguish metabolic exposures. Finally, metabolite clusters from F1-maternal and F2-cord sera were tested for their associations with newborn DNAm (F1 and F2). Twenty-one differential DNAm sites in cord blood were associated with reported maternal acetaminophen intake in the F2 generation. For 11 of these cytosine-phosphate-guanine (CpG) sites, an indication bias was excluded and five were replicated in F2 with metabolite clusters. In addition, metabolite clusters showed associations with 25 CpGs in the F0-F1 discovery analysis, of which five CpGs were replicated in the F2-generation. Our results suggest that prenatal acetaminophen use, measured as metabolites, may influence DNAm in newborns.Published by Oxford University Press 2022. This work is written by (a) US Government employee(s) and is in the public domain in the US."
Yes,20220411,ewas,35277542,Epigenome-wide association study and epigenetic age acceleration associated with cigarette smoking among Costa Rican adults.,Sci Rep,"Smoking-associated DNA methylation (DNAm) signatures are reproducible among studies of mostly European descent, with mixed evidence if smoking accelerates epigenetic aging and its relationship to longevity. We evaluated smoking-associated DNAm signatures in the Costa Rican Study on Longevity and Healthy Aging (CRELES), including participants from the high longevity region of Nicoya. We measured genome-wide DNAm in leukocytes, tested Epigenetic Age Acceleration (EAA) from five clocks and estimates of telomere length (DNAmTL), and examined effect modification by the high longevity region. 489 participants had a mean (SD) age of 79.4 (10.8) years, and 18% were from Nicoya. Overall, 7.6% reported currently smoking, 35% were former smokers, and 57.4% never smoked. 46 CpGs and five regions (e.g. AHRR, SCARNA6/SNORD39, SNORA20, and F2RL3) were differentially methylated for current smokers. Former smokers had increased Horvath's EAA (1.69-years; 95% CI 0.72, 2.67), Hannum's EAA (0.77-years; 95% CI 0.01, 1.52), GrimAge (2.34-years; 95% CI1.66, 3.02), extrinsic EAA (1.27-years; 95% CI 0.34, 2.21), intrinsic EAA (1.03-years; 95% CI 0.12, 1.94) and shorter DNAmTL (- 0.04-kb; 95% CI - 0.08, - 0.01) relative to non-smokers. There was no evidence of effect modification among residents of Nicoya. Our findings recapitulate previously reported and novel smoking-associated DNAm changes in a Latino cohort.© 2022. The Author(s)."
